int32 0,string2 1,float 2,float 3,float 4,float 5,float 6,int32 7,int32 8,float 9,float 10,float 11,float 12,int32 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,string2 21,int32 22,int32 23,int32 24,int32 25,string2 26,string2 27,int32 28
20601001,"1",9,360,10,2,2,38,2,0,1,0,10,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20601002,"2",9,360,10,2,2,38,2,0,1,0,10,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20601003,"3",9,360,10,2,2,38,2,0,1,0,10,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20601004,"4",9,360,10,2,2,38,2,0,1,0,10,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20601005,"5",9,360,10,2,2,38,2,0,1,0,10,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20601006,"6",9,360,10,2,2,38,2,0,1,0,10,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20601100,"100",0,0,0,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20601101,"101",0,0,0,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20601102,"102",0,0,0,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20601103,"103",0,0,0,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20601104,"104",0,0,0,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20601105,"105",0,0,0,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20601400,"400",0,0,0,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
20601401,"401",2,160,160,1,1,2,2,0,1,0,-1,2,2,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
