int32 0,string3 1,int32 2,string2 3,bool 4,string2 5,int32 6,int32 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,string2 15,float 16,float 17,float 18,float 19,float 20
20601001,"",99,"gim_0001",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
20601002,"",99,"gim_0002",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
20601003,"",99,"gim_0003",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
20601004,"",99,"gim_0004",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
20601005,"",99,"gim_0005",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
20601006,"",99,"gim_0006",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
20601100,"",-1,"script_tower1exit1",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
20601101,"",-1,"script_tower1exit2",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
20601102,"",-1,"script_tower2exit1",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
20601103,"",-1,"script_tower2exit2",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
20601104,"",-1,"script_tower3exit1",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
20601105,"",-1,"script_tower3exit2",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
20601400,"",99,"change_0001",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
20601401,"",99,"change_0002",true,"ef_f_mov_120_ga",1,0,"","","","","",0,0,"",0,0,0,0,0
