string2 0,int 1,int 2,int 3,empty 4,empty 5,empty 6,string 7
"FLAG_ENEMY_H0415_001",501,-1,0,"","","",""
"FLAG_ENEMY_H0415_002",502,-1,0,"","","",""
"FLAG_ENEMY_H0415_003",503,-1,0,"","","",""
"FLAG_ENEMY_H0415_004",504,-1,0,"","","",""
"FLAG_ENEMY_H0415_005",505,-1,0,"","","",""
"FLAG_ENEMY_H0415_006",506,-1,0,"","","",""
"FLAG_ENEMY_H0415_007",507,-1,0,"","","",""
"FLAG_ENEMY_H0415_008",508,-1,0,"","","",""
"FLAG_ENEMY_H0415_009",509,-1,0,"","","",""
"FLAG_ENEMY_H0415_010",510,-1,0,"","","",""
"FLAG_ENEMY_H0415_011",511,-1,0,"","","",""
"FLAG_ENEMY_H0415_012",512,-1,0,"","","",""
"FLAG_ENEMY_H0415_013",513,-1,0,"","","",""
"FLAG_ENEMY_H0415_014",514,-1,0,"","","",""
"FLAG_ENEMY_H0415_015",515,-1,0,"","","",""
"FLAG_ENEMY_H0415_016",516,-1,0,"","","",""
"FLAG_ENEMY_H0415_017",517,-1,0,"","","",""
"FLAG_ENEMY_H0415_018",518,-1,0,"","","",""
"FLAG_ENEMY_H0415_019",519,-1,0,"","","",""
"FLAG_ENEMY_H0415_020",520,-1,0,"","","",""
"FLAG_ENEMY_H0415_021",521,-1,0,"","","",""
"FLAG_ENEMY_H0415_022",522,-1,0,"","","",""
"FLAG_ENEMY_H0415_023",523,-1,0,"","","",""
"FLAG_ENEMY_H0415_024",524,-1,0,"","","",""
"FLAG_ENEMY_H0415_025",525,-1,0,"","","",""
"FLAG_ENEMY_D0502_001",3000,-1,0,"","","","D0502 モンスターを再出現させない"
"FLAG_ENEMY_D0502_002",3001,-1,0,"","","","D0502 モンスターを再出現させない"
"FLAG_ENEMY_D0502_003",3002,-1,0,"","","","D0502 モンスターを再出現させない"
"FLAG_ENEMY_D0502_004",3003,-1,0,"","","","D0502 モンスターを再出現させない"
"FLAG_ENEMY_D0502_005",3004,-1,0,"","","","D0502 モンスターを再出現させない"
"FLAG_ENEMY_D0502_006",3005,-1,0,"","","","D0502 モンスターを再出現させない"
"FLAG_ENEMY_D0502_007",3006,-1,0,"","","","D0502 モンスターを再出現させない"
"FLAG_ENEMY_D0502_008",3007,-1,0,"","","","D0502 モンスターを再出現させない"
"FLAG_ENEMY_D0502_009",3008,-1,0,"","","","D0502 モンスターを再出現させない"
"FLAG_ENEMY_D0502_010",3009,-1,0,"","","","D0502 モンスターを再出現させない"
"FLAG_ENEMY_D0502_011",3010,-1,0,"","","","D0502 モンスターを再出現させない"
"FLAG_ENEMY_D0502_012",3011,-1,0,"","","","D0502 モンスターを再出現させない"
"FLAG_ENEMY_D0502_013",3012,-1,0,"","","","D0502 モンスターを再出現させない"
"FLAG_ENEMY_D0502_014",3013,-1,0,"","","","D0502 モンスターを再出現させない"
"FLAG_ENEMY_D0502_015",3014,-1,0,"","","","D0502 モンスターを再出現させない"
"FLAG_ENEMY_D1301_001",3020,-1,0,"","","","D1301 モンスターを再出現させない"
"FLAG_ENEMY_D1301_002",3021,-1,0,"","","","D1301 モンスターを再出現させない"
