string2 0,string2 1,string2 2,string2 3,string2 4,string2 5,string2 6,string2 7,string2 8,string2 9,string2 10
"chr143","","chr143_LOD_2","","","","","","","",""
"chr175","","chr175_LOD_2","","","","","","","",""
"chr182","","chr182_LOD_2","","","","","","","",""
"chr327","","chr327_LOD_2","","","","","","","",""
"chr712","","chr712_LOD_2","","","","","","","",""
"chr713","","chr713_LOD_2","","","","","","","",""
"chr714","","chr714_LOD_2","","","","","","","",""
"chr715","","chr715_LOD_2","","","","","","","",""
"pc001g","","","","","","","","","",""
"pc002g","","","","","","","","","",""
