int32 0,int32 1,int32 2,string2 3,float 4,float 5,float 6,string2 7,empty 8,empty 9
102010011,1,5,"",-1,-1,10,"r_d0201_0010_0010",,
102010021,-1,0,"subquest_musyamon",7,7,10,"r_d0201_0010_0020",,
102010031,3,5,"",-1,-1,10,"r_d0201_0010_0030",,
102010041,4,5,"",-1,-1,10,"r_d0201_0010_0040",,
102010051,5,5,"",-1,-1,10,"r_d0201_0010_0050",,
102010061,6,5,"",-1,-1,10,"r_d0201_0010_0060",,
102010071,7,5,"",-1,-1,10,"r_d0201_0010_0070",,
102010081,8,5,"",-1,-1,10,"r_d0201_0010_0080",,
102010091,9,5,"",-1,-1,10,"r_d0201_0010_0090",,
102010101,10,5,"",-1,-1,10,"r_d0201_0010_0100",,
102010111,11,5,"",-1,-1,10,"r_d0201_0010_0110",,
102010121,12,5,"",-1,-1,10,"r_d0201_0010_0120",,
102010131,-1,1,"rumor_001",15,15,10,"r_d0201_0020_0010",,
102010141,-1,1,"rumor_002",15,15,10,"r_d0201_0020_0020",,
102010151,-1,1,"rumor_003",15,15,10,"r_d0201_0020_0030",,
102010161,-1,1,"rumor_004",15,15,10,"r_d0201_0020_0040",,
102010171,-1,1,"rumor_005",15,15,10,"r_d0201_0020_0050",,
102010181,-1,1,"rumor_006",15,15,10,"r_d0201_0020_0060",,
102010191,-1,1,"rumor_007",15,15,10,"r_d0201_0020_0070",,
102010201,-1,1,"rumor_008",15,15,10,"r_d0201_0020_0080",,
102010211,-1,1,"rumor_009",15,15,10,"r_d0201_0020_0090",,
102010221,-1,1,"rumor_010",15,15,10,"r_d0201_0020_0100",,
102010231,-1,1,"rumor_011",15,15,10,"r_d0201_0020_0110",,
102010241,-1,1,"rumor_012",15,15,10,"r_d0201_0020_0120",,
102010251,-1,1,"rumor_013",15,15,10,"r_d0201_0020_0130",,
102010261,-1,1,"rumor_014",15,15,10,"r_d0201_0020_0140",,
102010271,-1,1,"rumor_015",15,15,10,"r_d0201_0020_0150",,
102010281,-1,1,"rumor_016",15,15,10,"r_d0201_0020_0160",,
102010291,-1,1,"rumor_017",15,15,10,"r_d0201_0020_0170",,
102010301,-1,1,"rumor_018",15,15,10,"r_d0201_0020_0180",,
102010311,-1,1,"rumor_030",15,15,10,"r_d0201_0030_0010",,
102010321,-1,1,"rumor_031",15,15,10,"r_d0201_0030_0020",,
102010331,-1,1,"rumor_032",15,15,10,"r_d0201_0030_0030",,
102010341,-1,1,"rumor_033",15,15,10,"r_d0201_0030_0040",,
102010351,-1,1,"rumor_034",15,15,10,"r_d0201_0030_0050",,
102010361,-1,1,"rumor_035",15,15,10,"r_d0201_0030_0060",,
102010371,-1,1,"rumor_036",15,15,10,"r_d0201_0030_0070",,
102010381,-1,1,"rumor_037",10,10,10,"r_d0201_0030_0080",,
102010391,-1,1,"rumor_038",15,15,10,"r_d0201_0030_0090",,
102010401,-1,1,"rumor_039",15,15,10,"r_d0201_0030_0100",,
102010411,-1,1,"rumor_040",15,15,10,"r_d0201_0030_0110",,
102010421,-1,1,"rumor_041",15,15,10,"r_d0201_0030_0120",,
102010431,-1,1,"rumor_042",15,15,10,"r_d0201_0030_0130",,
102010441,-1,1,"rumor_043",15,15,10,"r_d0201_0030_0140",,
102010451,-1,1,"rumor_044",15,15,10,"r_d0201_0030_0150",,
102010461,-1,1,"rumor_045",15,15,10,"r_d0201_0030_0160",,
102010471,-1,1,"rumor_046",15,15,10,"r_d0201_0030_0170",,
102010481,-1,1,"rumor_047",15,15,10,"r_d0201_0030_0180",,
102010491,-1,1,"rumor_048",15,15,10,"r_d0201_0030_0190",,
102010601,-1,1,"rumor_060",15,15,10,"r_d0201_0040_0010",,
102010611,-1,1,"rumor_061",15,15,10,"r_d0201_0040_0020",,
102010621,-1,1,"rumor_062",15,15,10,"r_d0201_0040_0030",,
102010631,-1,1,"rumor_063",15,15,10,"r_d0201_0040_0040",,
102010641,-1,1,"rumor_064",15,15,10,"r_d0201_0040_0050",,
102010651,-1,1,"rumor_065",15,15,10,"r_d0201_0040_0060",,
102010661,-1,1,"rumor_066",15,15,10,"r_d0201_0040_0070",,
102010671,-1,1,"rumor_067",15,15,10,"r_d0201_0040_0080",,
102010681,-1,0,"m440_nanimon01",100,100,10,"r_d0201_0050_0010",,
102010691,-1,0,"m440_nanimon02",100,100,10,"r_d0201_0050_0020",,
102010701,-1,0,"npc_lock_0003",15,15,10,"r_d0201_0010_0130",,
102010711,-1,0,"npc_lock_0004",15,15,10,"r_d0201_0010_0140",,
