int32 0,string3 1,int32 2,string2 3,bool 4,string2 5,int32 6,int32 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,string2 15,float 16,float 17,float 18,float 19,float 20
101100,"",-1,"signal_0001",false,"f00traffic00",1,0,"","","","","",0,0,"",0,0,0,0,0
101101,"",-1,"signal_0002",false,"f00traffic00",1,0,"","","","","",0,0,"",0,0,0,0,0
101102,"",-1,"signal_0003",false,"f00traffic00",1,0,"","","","","",0,0,"",0,0,0,0,0
101103,"",-1,"signal_0004",false,"f00traffic00",1,0,"","","","","",0,0,"",0,0,0,0,0
101104,"",-1,"signal_0005",false,"f00traffic00",1,0,"","","","e001","",0,0,"",0,0,0,0,0
101105,"",-1,"signal_0006",false,"f00traffic00",1,0,"","","","e001","",0,0,"",0,0,0,0,0
101106,"",-1,"signal_0051",false,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
101107,"",-1,"signal_0052",false,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
101108,"",-1,"signal_0053",false,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
101109,"",-1,"signal_0054",false,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
101110,"",-1,"signal_0055",false,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
101111,"",-1,"signal_0056",false,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
101112,"",-1,"signal_0057",false,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
101113,"",-1,"signal_0058",false,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
101114,"",-1,"signal_0059",false,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
101115,"",-1,"signal_0060",false,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
101116,"",-1,"signal_0061",false,"f00traffic01",1,0,"","","","e002","",0,0,"",0,0,0,0,0
101700,"",10,"gim_0001",false,"f00taxi01",1,0,"","","","","",0,0,"",0,0,0,0,0
101701,"",10,"gim_0002",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
101702,"",10,"obj_0001",false,"f00taxi01",1,0,"","","","","",0,0,"",0,0,0,0,0
101900,"",-1,"gim_9000",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
