int32 0,int32 1,int32 2,empty 3,int32 4,int32 5,empty 6,int32 7
1,0,-1,,0,-1,,2000001
2,0,-1,,0,-1,,2000002
3,0,-1,,2,-1,,2000012
4,0,-1,,2,-1,,2000013
5,0,-1,,3,-1,,2000014
6,0,-1,,3,-1,,2000015
7,0,-1,,4,-1,,2000009
8,0,-1,,5,-1,,2000004
9,0,-1,,6,-1,,2000010
10,0,-1,,6,-1,,2000011
11,0,-1,,7,-1,,2000007
12,0,-1,,7,-1,,2000008
13,1,-1,,0,-1,,2001001
14,1,-1,,0,-1,,2001002
15,1,-1,,2,-1,,2001012
16,1,-1,,2,-1,,2001013
17,1,-1,,3,-1,,2001014
18,1,-1,,3,-1,,2001015
19,1,-1,,4,-1,,2001009
20,1,-1,,5,-1,,2001004
21,1,-1,,6,-1,,2001010
22,1,-1,,6,-1,,2001011
23,1,-1,,7,-1,,2001007
24,1,-1,,7,-1,,2001008
