int 0,int 1,int 2,empty 3,int 4,int 5,empty 6,int 7
1,1,-1,"",8,-1,"",1011001
2,1,-1,"",8,-1,"",1011002
3,1,-1,"",9,-1,"",1011003
4,2,-1,"",8,-1,"",1010001
5,2,-1,"",8,-1,"",1010002
6,2,-1,"",9,-1,"",1010003
7,3,-1,"",8,-1,"",1004001
8,3,-1,"",8,-1,"",1004002
9,3,-1,"",9,-1,"",1004003
10,4,-1,"",8,-1,"",1007001
11,4,-1,"",8,-1,"",1007002
12,4,-1,"",9,-1,"",1007003
13,5,-1,"",8,-1,"",1003001
14,5,-1,"",8,-1,"",1003002
15,5,-1,"",9,-1,"",1003003
16,6,-1,"",8,-1,"",0
17,6,-1,"",8,-1,"",0
18,6,-1,"",9,-1,"",0
19,7,-1,"",8,-1,"",1012001
20,7,-1,"",8,-1,"",1012002
21,7,-1,"",9,-1,"",1012003
22,8,-1,"",8,-1,"",1013001
23,8,-1,"",8,-1,"",1013002
24,8,-1,"",9,-1,"",1013003
