int32 0,int32 1,int32 2,int32 3,float 4,float 5,float 6,float 7,float 8,string3 9,string3 10,float 11,float 12,float 13,float 14,int32 15,float 16,float 17,int32 18,float 19,int32 20,int32 21,int32 22,float 23,float 24,int32 25,float 26,int32 27,float 28,float 29,float 30,int32 31
1010601,10000,1,-1,13.987659,0.01785,67.60654,-42.991272,1,"bn01","ba02",45,15,2.5,1,0,4,10,0,3,0,0,0,6,50,0,3,0,0,0,0,-1
1010602,20000,0,-1,-21.541496,15.797199,-5.639343,6.365854,3,"bn01","ba02",45,15,2.5,1,0,4,10,0,3,0,0,0,6,50,0,3,0,0,0,0,-1
1010603,20001,0,-1,24.757156,1.866132,51.357216,-32.039856,1,"bn01","ba02",45,15,2.5,1,0,4,10,0,3,0,0,0,6,50,0,3,0,0,0,0,-1
1010604,10002,0,-1,30.943285,3.401707,37.817966,-27.910275,1.5,"bn01","ba02",45,15,2.5,1,0,4,10,0,3,0,0,0,6,50,0,3,0,0,0,0,-1
1010605,10002,0,-1,34.313007,3.754674,28.010042,-17.731085,1.5,"bn01","ba02",45,15,2.5,1,0,4,10,0,3,0,0,0,6,50,0,3,0,0,0,0,-1
1010606,10002,0,-1,31.152168,4.07782,25.486595,-3.646764,1.5,"bn01","ba02",45,15,2.5,1,0,4,10,0,3,0,0,0,6,50,0,3,0,0,0,0,-1
1019701,10000,0,-1,54.557007,36.264996,-34.819477,27.684525,1,"bn01","ba02",45,15,2.5,1,0,4,10,0,3,0,0,0,6,50,0,3,0,0,0,0,-1
1019702,10002,0,-1,-16.483147,26.246395,11.802952,60.014088,1.993674,"bn01","ba02",45,15,2.5,1,0,4,10,0,3,0,0,0,6,50,0,3,0,0,0,0,-1
1019703,10004,0,-1,-27.074146,25.999998,9.792552,152.6195,1,"bn01","ba02",45,15,2.5,1,0,4,10,0,3,0,0,0,6,50,0,3,0,0,0,0,-1
1019704,10000,0,-1,-10.923556,25.999998,20.453827,-77.42701,1,"bn01","ba02",45,15,2.5,1,0,4,10,0,3,0,0,0,6,50,0,3,0,0,0,0,-1
1019705,10004,0,-1,-5.042346,26,11.215236,0,1,"bn01","ba02",45,15,2.5,1,0,4,10,0,3,0,0,0,6,50,0,3,0,0,0,0,-1
1020501,90458,0,-1,12.089768,-3,23.55738,-58.095325,1,"bn01","ba02",45,10,2.5,1,0,4,10,-1,3,0,0,0,6,10,-1,3,0,0,0,0,-1
1020502,90713,0,-1,6.333642,-3,20.564272,-11.067518,1,"bn01","ba02",45,10,2.5,1,0,4,10,-1,3,0,0,0,6,10,-1,3,0,0,0,0,-1
1020503,90078,0,-1,-2.120669,-11.991299,-25.59991,-138.15672,1,"bn01","ba02",45,10,2.5,1,3,0,0,-1,3,0,0,0,4,15,-1,3,0,0,0,0,-1
1020504,90102,0,-1,-44.16478,-8.982649,33.062916,35.562088,1,"bn01","ba02",45,10,2.5,1,0,4,10,-1,3,0,0,0,6,10,-1,3,0,0,0,0,-1
1020505,90456,0,-1,-24.160704,-2.991329,-8.818388,0,1,"bn01","ba02",45,10,2.5,1,0,4,10,-1,3,0,0,0,6,10,-1,3,0,0,0,0,-1
1020506,90457,0,-1,9.656768,-11.9913,-10.277761,0,1,"bn01","ba02",45,10,2.5,1,0,4,10,-1,3,0,0,0,6,10,-1,3,0,0,0,0,-1
1020507,90458,0,-1,4.813688,-11.991299,-20.016266,0,1,"bn01","ba02",45,10,2.5,1,0,4,10,-1,3,0,0,0,6,10,-1,3,0,0,0,0,-1
1020508,90710,0,-1,-52.962074,-8.98265,26.961922,0,1,"bn01","ba02",45,10,2.5,1,0,4,10,-1,3,0,0,0,6,10,-1,3,0,0,0,0,-1
