int32 0,string3 1,string3 2,float 3,float 4,float 5,float 6,float 7,float 8,float 9,int32 10,string3 11,int32 12,bool 13
40401,"mob001","fn34",-2.453155,0.3,-11.831069,-61.531406,0,0,1,0,"",-1,true
40402,"mob004","fn02",-1.589257,0.3,-11.644539,-92.45553,0,0,1,0,"",-1,true
40403,"mob003","fn16",11.205566,0.44143,2.096323,-91.62941,0,0,1,0,"",-1,true
40404,"mob001","fn34",-2.453155,0.3,-11.831069,-61.531406,0,0,1,0,"",-1,true
40405,"mob004","fn02",-1.589257,0.3,-11.644539,-92.45553,0,0,1,0,"",-1,true
40406,"mob003","fn16",11.205566,0.44143,2.096323,-91.62941,0,0,1,0,"",-1,true
40407,"mob011","fn03",-17.458858,0.3,-2.065866,112.81139,0,0,1,0,"",-1,true
40408,"mob012","e006",-5.927118,0.3,-32.560314,39.67799,0,0,1,0,"",-1,true
40409,"mob013","fn01",-5.819074,0.3,-32.555004,20.758558,0,0,1,0,"",-1,true
40410,"mob015","fn07",-0.512282,0.3,-11.930759,-34.237698,0,0,1,0,"",-1,true
40411,"mob001","fn33",-16.832397,0.3,-12.649507,-147.06078,0,0,1,0,"",-1,true
40412,"mob001","fn03",-14.97986,0.3,4.738885,124.66936,0,0,1,0,"",-1,true
40413,"mob015","e521",-13.085492,0.3,7.832581,106.558365,0,0,1,0,"",-1,true
40414,"mob003","fn15",-17.136251,0.3,-2.430735,46.30714,0,0,1,0,"",-1,true
40415,"mob003","fn21",-14.196,0.3,6.083507,139.7974,0,0,1,0,"",-1,true
40416,"mob004","fn34",0.204722,0.323408,-31.865402,0,0,0,1,0,"",-1,true
40417,"mob004","fn36",-16.27644,0.3,-26.672787,22.497099,0,0,1,0,"",-1,true
40418,"mob015","e002",3.522924,0.68004,1.441247,-143.01912,0,0,1,0,"",-1,true
40419,"mob004","fn13",9.898255,0.3,-0.893088,-105.82748,0,0,1,0,"",-1,true
40420,"mob003","fn15",-12.090487,0.3,-31.157644,38.886467,0,0,1,0,"",-1,true
40421,"mob003","fn16",14.607239,0.44128,-1.83664,217.4671,0,0,1,0,"",-1,true
40422,"mob003","fn24",-10.131655,0.3,1.090613,-45.42232,0,0,1,0,"",-1,true
40423,"mob003","fn24",-6.684365,0.3,-25.232365,-152.8859,0,0,1,0,"",-1,true
40424,"mob001","fn18",-5.398037,0.3,4.024249,-234.84813,0,0,1,0,"",-1,true
40425,"mob001","fn19",-4.730393,0.3,4.103497,-143.73042,0,0,1,0,"",-1,true
40426,"mob004","fn08",-9.821962,0.3,-26.2216,-27.383549,0,0,1,0,"",-1,true
40427,"mob003","fn15",2.707081,0.68004,-0.659838,-74.13355,0,0,1,0,"",-1,true
40428,"mob011","fn03",-4.633552,0.68004,-1.88944,74.37432,0,0,1,0,"",-1,true
40429,"mob015","fn02",-2.662377,0.68004,-0.225311,-231.6888,0,0,1,0,"",-1,true
40430,"mob001","fn02",4.260135,0.31,-5.150656,-97.55876,0,0,1,0,"",-1,true
40431,"mob003","fn15",-2.572635,0.336272,-38.11876,33.33619,0,0,1,0,"",-1,true
40432,"mob004","fn32",3.288323,0.68004,0.669053,-33.311867,0,0,1,0,"",-1,true
40433,"mob011","e002",-15.958327,0.3,-25.853775,-174.40158,0,0,1,0,"",-1,true
40434,"mob001","fn34",-13.769906,0.307741,-12.477802,-35.20426,0,0,1,0,"",-1,true
40435,"mob003","e516",11.706766,0.339204,-31.575975,-170.76317,0,0,1,0,"",-1,true
40436,"mob015","fn07",-12.738975,0.308959,-12.528958,0.968706,0,0,1,0,"",-1,true
40437,"mob012","e001",-9.837415,0.3,1.677365,-166.3419,0,0,1,0,"",-1,true
40438,"mob015","e117",-10.302613,0.329599,-31.811195,-35.971306,0,0,1,0,"",-1,true
40439,"mob004","fs02",-8.501329,0.3,-32.442295,18.26088,0,0,1,0,"",-1,true
40440,"mob015","fn07",-5.398988,0.329375,-33.028316,-615.2982,0,0,1,0,"",-1,true
40441,"mob001","fn33",-0.517064,0.336157,-32.17204,-218.9811,0,0,1,0,"",-1,true
40442,"mob004","fn36",12.923531,0.339585,-32.549156,78.17201,0,0,1,0,"",-1,true
40443,"mob001","fn10",13.76301,0.349475,-32.07136,222.03502,0,0,1,0,"",-1,true
40444,"mob001","fn35",13.209235,0.534153,-0.550314,-148.73111,0,0,1,0,"",-1,true
