string3 0,string3 1,string3 2,string3 3,float 4,float 5,float 6,float 7,float 8,float 9,float 10,int32 11,float 12,float 13,float 14,float 15,float 16,string3 17,float 18,float 19
"default_move_animation","bn01","br01","",5.04,0,0,-1,-1,-1,-1,0,2.5,0.75,1,0,0,"",0,0
"pc001","fn01","fw01b","fr01b",0.84,5.04,2,-1,-1,-1,-1,0,2.5,0.75,1,0,0,"",0,0
"pc002","fn01","fw01b","fr01b",0.84,5.04,1,-1,-1,-1,-1,0,2.5,0.75,1,0,0,"",0,0
"pc003","fn01","fw01b","fr01b",0.84,5.04,1,-1,-1,-1,-1,0,2.5,0.75,1,0,0,"",0,0
"pc004","fn01","fw01b","fr01b",1.5,7.2,1.5,-1,-1,-1,-1,0,2.5,0.75,1,0,0,"",0,0
"pc004hold","fn99","fw99b","fr99b_OVR",1.5,4.8,1,-1,-1,-1,-1,0,2.5,0.75,1,0,0,"",0,0
"pc004swim","fg05_n01","fg05_w01","",2,4,1,-1,-1,-1,-1,0,2.5,0.75,1,0,0,"",0,0
"pc004suica","fn01","fg06_w01","",1.5,1.5,1,-1,-1,-1,-1,0,2.5,0.75,1,0,0,"",0,0
"pc004ride01","r01_fn01","r01_fw01b","r01_fw01b_OVR",1.5,4.8,1,-1,-1,-1,-1,0,2.5,0.75,1,0,0,"",0,0
"mob001","fn01","fw01","",1.2,0,1,-1,-1,-1,-1,0,2.5,0.75,1.2,0,0,"",0,0
"mob001test","fn01","fw01","fr01",1.5,4.8,1,-1,-1,-1,-1,1,1,0.75,2,1,10,"",0,0
"mob002","fn01","fw01","",1.2,0,1,-1,-1,-1,-1,0,2.5,0.75,1.2,0,0,"",0,0
"mob003","fn01","fw01","",1.2,0,1,-1,-1,-1,-1,0,2.5,0.75,1.2,0,0,"",0,0
"mob004","fn01","fw01","",1.2,0,1,-1,-1,-1,-1,0,2.5,0.75,1.2,0,0,"",0,0
"mob005","fn01","fw01","",1.2,0,1,-1,-1,-1,-1,0,2.5,0.75,1.2,0,0,"",0,0
"mob006","fn01","fw01","",1.2,0,1,-1,-1,-1,-1,0,2.5,0.75,1.2,0,0,"",0,0
"mob007","fn01","fw01","",1.2,0,1,-1,-1,-1,-1,0,2.5,0.75,1.2,0,0,"",0,0
"mob008","fn01","fw01","",1.2,0,1,-1,-1,-1,-1,0,2.5,0.75,1.2,0,0,"",0,0
"mob009","fn01","fw01","",1.2,0,1,-1,-1,-1,-1,0,2.5,0.75,1.2,0,0,"",0,0
"mob010","fn01","fw01","",1.2,0,1,-1,-1,-1,-1,0,2.5,0.75,1.2,0,0,"",0,0
"mob011","fn01","fw01","",1.2,0,1,-1,-1,-1,-1,0,2.5,0.75,1.2,0,0,"",0,0
"mob012","fn01","fw01","",1.2,0,1,-1,-1,-1,-1,0,2.5,0.75,1.2,0,0,"",0,0
"mob013","fn01","fw01","",1.2,0,1,-1,-1,-1,-1,0,2.5,0.75,1.2,0,0,"",0,0
"mob014","fn01","fw01","",1.2,0,1,-1,-1,-1,-1,0,2.5,0.75,1.2,0,0,"",0,0
"mob015","fn01","fw01","",1.2,0,1,-1,-1,-1,-1,0,2.5,0.75,1.2,0,0,"",0,0
"mob016","fn01","fw01","",1.2,0,1,-1,-1,-1,-1,0,2.5,0.75,1.2,0,0,"",0,0
"mob017","fn01","fw01","",1.2,0,1,-1,-1,-1,-1,0,2.5,0.75,1.2,0,0,"",0,0
"mob043","fn01","fw01","",1.2,0,1,-1,-1,-1,-1,0,2.5,0.75,1.2,0,0,"",0,0
"f0000taxi00","","","",5.04,0,1,-1,-1,-1,-1,1,1,3,10,2,20,"",0,0
"f0000bus00","","","",5.04,0,1,-1,-1,-1,-1,1,1,6,10,2,20,"",0,0
"npc101a","fn01_01","fw01_01","fr01_01",1.2,4.8,1,-1,-1,-1,-1,0,2.5,0.75,1,0,0,"",0,0
"npc102a","fn01_01","fw01_01","fr01_01",1.2,4.8,1,-1,-1,-1,-1,0,2.5,0.75,1,0,0,"",0,0
"npc104a","fn01_01","fw01_01","fr01_01",1.2,4.8,1,-1,-1,-1,-1,0,2.5,0.75,1,0,0,"",0,0
"npc105a","fn01_01","fw01_01","fr01_01",1.2,4.8,1,-1,-1,-1,-1,0,2.5,0.75,1,0,0,"",0,0
"npc106a","fn01_01","fw01_01","fr01_01",1.2,2.7,1,-1,-1,-1,-1,0,2.5,0.75,1,0,0,"",0,0
"npc107a","fn01_01","fw01_01","fr01_01",0.6,4.8,1,-1,-1,-1,-1,0,2.5,0.75,1,0,0,"",0,0
"npc109a","fn01_01","fw01_01","fr01_01",0.9,4.8,1,-1,-1,-1,-1,0,2.5,0.75,1,0,0,"",0,0
"npc110a","fn01_01","fw01_01","fr01_01",0.9,4.8,1,-1,-1,-1,-1,0,2.5,0.75,1,0,0,"",0,0
"chr009","bn01","bn01","",1.5,0,1,-1,-1,-1,-1,0,2.5,0.75,2,0,0,"",0,0
"chr103","bn01","br01","",1.5,0,1,-1,-1,-1,-1,0,2.5,0.75,2,0,0,"",0,0
"chr728","bn01","bn01","",1.5,0,1,-1,-1,-1,-1,0,2.5,0.75,2,0,0,"",0,0
"chr234","bn01","br01","",3,0,1,-1,-1,-1,-1,0,2.5,0.75,3,0,0,"",0,0
"chr234run","bn01","br01","",3,0,1,-1,-1,-1,-1,0,2.5,0.75,5,0,0,"",0,0
"chr302","bn01","br01","",8,0,0,2,14,-1,-1,0,2.5,0.75,2,0,0,"",0,0
"chr455","bn01","br01","",1.26,0,0,-1,-1,-1,-1,0,2.5,0.75,2,0,0,"",0,0
"chr512","bn01","br01","",2,0,1,-1,-1,-1,-1,0,2.5,0.75,2,0,0,"",0,0
"chr437","bn01","br01","",2,0,1,-1,-1,-1,-1,0,2.5,0.75,2,0,0,"",0,0
"chr454","bn01","br01","",2,0,1,-1,-1,-1,-1,0,2.5,0.75,2,0,0,"",0,0
