int32 0,int32 1,int32 2
100,1,1
200,1,1
300,1,1
400,1,1
500,1,1
600,1,1
700,1,1
800,1,1
900,1,1
1000,1,1
1100,1,1
1200,1,1
1300,1,1
1400,1,1
1500,1,1
1600,1,1
1700,1,1
1800,1,1
1900,1,1
2000,1,1
2100,1,1
2200,1,1
2300,1,1
2400,1,1
2500,1,1
2600,1,1
2700,1,1
2800,1,1
2900,1,1
3000,1,1
3100,1,1
3200,1,1
3300,1,1
3400,1,1
3500,1,1
3600,1,1
3700,1,1
3800,1,1
3900,1,1
4000,1,1
4100,2,1
4200,2,1
4300,2,1
4400,2,1
4500,2,1
4600,2,1
4700,2,1
4800,2,1
4900,2,1
5000,2,1
5100,2,1
5200,2,1
5300,2,1
5400,2,1
5500,2,1
5600,2,1
5700,2,1
5800,2,1
5900,2,1
6000,2,1
6100,2,1
6200,2,1
6300,2,1
6400,2,1
6500,2,1
6600,2,1
6700,2,1
6800,2,1
6900,2,1
7000,2,1
7100,2,1
7200,2,1
7300,2,1
7400,2,1
7500,2,1
7600,2,1
7700,2,1
7800,2,1
7900,2,1
8000,2,1
101,3,1
201,3,1
301,3,1
401,3,1
501,3,1
601,3,1
701,3,1
801,3,1
901,3,1
1001,3,1
1101,3,1
1201,3,1
1301,3,1
1401,3,1
1501,3,1
1601,3,1
1701,3,1
1801,3,1
1901,3,1
2001,3,1
2101,3,1
2201,3,1
2301,3,1
2401,3,1
2501,3,1
2601,3,1
2701,3,1
2801,3,1
2901,3,1
3001,3,1
3101,3,1
3201,3,1
3301,3,1
3401,3,1
3501,3,1
3601,3,1
3701,3,1
3801,3,1
3901,3,1
4001,3,1
4101,4,1
4201,4,1
4301,4,1
4401,4,1
4501,4,1
4601,4,1
4701,4,1
4801,4,1
4901,4,1
5001,4,1
5101,4,1
5201,4,1
5301,4,1
5401,4,1
5501,4,1
5601,4,1
5701,4,1
5801,4,1
5901,4,1
6001,4,1
6101,4,1
6201,4,1
6301,4,1
6401,4,1
6501,4,1
6601,4,1
6701,4,1
6801,4,1
6901,4,1
7001,4,1
7101,4,1
7201,4,1
7301,4,1
7401,4,1
7501,4,1
7601,4,1
7701,4,1
7801,4,1
7901,4,1
8001,4,1
102,4,1
202,4,1
302,4,1
402,4,1
502,4,1
602,4,1
702,4,1
802,4,1
902,4,1
1002,4,1
1102,4,1
1202,4,1
1302,4,1
1402,4,1
1502,4,1
1602,4,1
1702,4,1
1802,4,1
1902,4,1
2002,4,1
2102,4,1
2202,4,1
2302,4,1
2402,4,1
2502,4,1
2602,4,1
2702,4,1
2802,4,1
2902,4,1
3002,4,1
3102,4,1
3202,4,1
3302,4,1
3402,4,1
3502,4,1
3602,4,1
3702,4,1
3802,4,1
3902,4,1
4002,4,1
4102,5,1
4202,5,1
4302,5,1
4402,5,1
4502,5,1
4602,5,1
4702,5,1
4802,5,1
4902,5,1
5002,5,1
5102,5,1
5202,5,1
5302,5,1
5402,5,1
5502,5,1
5602,5,1
5702,5,1
5802,5,1
5902,5,1
6002,5,1
6102,6,1
6202,6,1
6302,6,1
6402,6,1
6502,6,1
6602,6,1
6702,6,1
6802,6,1
6902,6,1
7002,6,1
7102,6,1
7202,6,1
7302,6,1
7402,6,1
7502,6,1
7602,6,1
7702,6,1
7802,6,1
7902,6,1
8002,6,1
103,7,1
203,7,1
303,7,1
403,7,1
503,7,1
603,7,1
703,7,1
803,7,1
903,7,1
1003,7,1
1103,7,1
1203,7,1
1303,7,1
1403,7,1
1503,7,1
1603,7,1
1703,7,1
1803,7,1
1903,7,1
2003,7,1
2103,7,1
2203,7,1
2303,7,1
2403,7,1
2503,7,1
2603,7,1
2703,7,1
2803,7,1
2903,7,1
3003,7,1
3103,7,1
3203,7,1
3303,7,1
3403,7,1
3503,7,1
3603,7,1
3703,7,1
3803,7,1
3903,7,1
4003,7,1
4103,7,1
4203,7,1
4303,7,1
4403,7,1
4503,7,1
4603,7,1
4703,7,1
4803,7,1
4903,7,1
5003,7,1
5103,7,1
5203,7,1
5303,7,1
5403,7,1
5503,7,1
5603,7,1
5703,7,1
5803,7,1
5903,7,1
6003,7,1
6103,7,1
6203,7,1
6303,7,1
6403,7,1
6503,7,1
6603,7,1
6703,7,1
6803,7,1
6903,7,1
7003,7,1
7103,7,1
7203,7,1
7303,7,1
7403,7,1
7503,7,1
7603,7,1
7703,7,1
7803,7,1
7903,7,1
8003,7,1
