int 0,int 1,int 2,int 3,int 4,int 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13
0,0,0,0,-1,-1,"t0401","t0402","t0403","t0404","t0408","t0409","t04","last"
1000,0,100,0,1615,1620,"col_t0109_start_01_0","change_0001","change_0001","change_0001","col_t0401_start_11_0","col_t0401_start_00_0","t0401","last"
1001,0,100,1,1630,1650,"col_t0109_start_01_0","change_0001","change_0001","change_0001","col_t0401_start_11_0","col_t0401_start_00_0","t0401","last"
1002,0,100,2,3860,4010,"col_t0109_start_01_0","change_0001","change_0001","change_0001","col_t0401_start_11_0","col_t0401_start_00_0","t0401","last"
1003,0,100,3,6125,8900,"col_t0109_start_01_0","change_0001","change_0001","change_0001","col_t0401_start_11_0","col_t0401_start_00_0","t0401","last"
1004,0,100,4,-1,-1,"map_0001","change_0001","change_0001","change_0001","col_t0401_start_11_0","col_t0401_start_00_0","t0401","last"
2000,0,200,0,-1,-1,"map_0001","change_0001","change_0001","change_0001","col_t0401_start_11_0","col_t0401_start_00_0","t0401","last"
3000,0,300,0,-1,-1,"map_0001","change_0001","change_0001","change_0001","col_t0401_start_11_0","col_t0401_start_00_0","t0401","last"
4010,0,401,0,-1,-1,"","change_0001","change_0001","change_0001","col_t0401_start_11_0","col_t0401_start_00_0","t0401","last"
4020,0,402,0,-1,-1,"change_0001","","change_0001","change_0001","col_t0401_start_11_0","col_t0401_start_00_0","t0401","last"
4030,0,403,0,-1,-1,"change_0002","change_0001","","change_0001","col_t0401_start_11_0","col_t0401_start_00_0","t0401","last"
4040,0,404,0,-1,1880,"change_0002","change_0001","change_0002","","col_t0401_start_11_0","col_t0401_start_00_0","t0401","last"
4041,0,404,1,1880,1910,"","","change_0002","","","","","last"
4042,0,404,2,1910,-1,"change_0002","change_0001","change_0002","","col_t0401_start_11_0","col_t0401_start_00_0","","last"
4080,0,408,0,-1,-1,"gim_9006","change_0001","change_0001","change_0001","","col_t0401_start_00_0","","last"
4090,0,409,0,-1,-1,"map_0001","change_0001","change_0001","change_0001","col_t0401_start_11_0","","","last"
101000,10000,100,0,6901,-1,"col_t0109_start_01_0","change_0001","change_0001","change_0001","col_t0401_start_11_0","","t0401","last"
101001,10000,100,1,-1,-1,"gim_9006","change_0001","change_0001","change_0001","npc_0200","","t0408","last"
102000,10000,200,0,6901,-1,"col_t0109_start_01_0","change_0001","change_0001","change_0001","col_t0401_start_11_0","","t0401","last"
102001,10000,200,1,-1,-1,"gim_9006","change_0001","change_0001","change_0001","npc_0200","","t0408","last"
103000,10000,300,0,6901,-1,"col_t0109_start_01_0","change_0001","change_0001","change_0001","col_t0401_start_11_0","","t0401","last"
103001,10000,300,1,-1,-1,"gim_9006","change_0001","change_0001","change_0001","npc_0200","","t0408","last"
104000,10000,400,0,6901,-1,"col_t0109_start_01_0","change_0001","change_0001","change_0001","col_t0401_start_11_0","","t0401","last"
104001,10000,400,1,-1,-1,"gim_9006","change_0001","change_0001","change_0001","npc_0200","","t0408","last"
105000,10000,500,0,6901,-1,"col_t0109_start_01_0","change_0001","change_0001","change_0001","col_t0401_start_11_0","","t0401","last"
105001,10000,500,1,-1,-1,"gim_9006","change_0001","change_0001","change_0001","npc_0200","","t0408","last"
106000,10000,600,0,6901,-1,"col_t0109_start_01_0","change_0001","change_0001","change_0001","col_t0401_start_11_0","","t0401",""
106001,10000,600,1,-1,-1,"gim_9006","change_0001","change_0001","change_0001","npc_0200","","t0408","last"
107000,10000,700,0,6901,-1,"col_t0109_start_01_0","change_0001","change_0001","change_0001","col_t0401_start_11_0","","t0401",""
107001,10000,700,1,-1,-1,"gim_9006","change_0001","change_0001","change_0001","npc_0200","","t0408","last"
108000,10000,800,0,6901,-1,"col_t0109_start_01_0","change_0001","change_0001","change_0001","col_t0401_start_11_0","","t0401",""
108001,10000,800,1,-1,-1,"gim_9006","change_0001","change_0001","change_0001","npc_0200","","t0408","last"
109000,10000,900,0,6901,-1,"col_t0109_start_01_0","change_0001","change_0001","change_0001","col_t0401_start_11_0","","t0401",""
109001,10000,900,1,-1,-1,"gim_9006","change_0001","change_0001","change_0001","npc_0200","","t0408","last"
110000,10000,1000,0,20330,20340,"gim_9006","change_0001","change_0001","change_0001","npc_0200","","t0408","last"
110001,10000,1000,1,-1,-1,"gim_9006","change_0001","change_0001","change_0001","npc_0200","","t0408","last"
111000,10000,1100,0,1690,1720,"gim_9005","","","","","","t0401","last"
111001,10000,1100,1,1790,1810,"gim_9005","","","","","","t0401","last"
111002,10000,1100,2,1990,2050,"map_0001","","","","","","t0401","last"
111003,10000,1100,3,-1,-1,"gim_9005","","change_0001","","","","t0401","last"
112000,10000,1200,0,-1,-1,"gim_9005","","change_0001","","npc_0200","","t0408","last"
203000,20000,300,0,-1,-1,"","","","","","change_0001","t0409","last"
