int32 0,int32 1,int32 2,int32 3,int32 4,int32 5,int32 6,int32 7
1,11027,11027,11027,11027,11027,11027,11027
2,11027,11027,11027,11027,11027,11027,11027
3,11027,11027,11027,11027,11027,11027,11027
4,11027,11027,11027,11027,11027,11027,11027
5,11027,11027,11027,11027,11027,11027,11027
6,11027,11027,11027,11027,11027,11027,11027
7,11027,11027,11027,11027,11027,11027,11027
8,11027,11027,11027,11027,11027,11027,11027
9,11027,11027,11027,11027,11027,11027,11027
10,11027,11027,11027,11027,11027,11027,11027
11,11027,11027,11027,11027,11027,11027,11027
12,11027,11027,11027,11027,11027,11027,11027
13,11027,11027,11027,11027,11027,11027,11027
14,11027,11027,11027,11027,11027,11027,11027
15,11027,11027,11027,11027,11027,11027,11027
16,11027,11027,11027,11027,11027,11027,11027
