string2 0,string2 1
"chr043","chr092"
"chr054","chr326"
"chr069","chr113"
"chr133","chr132"
"chr150","chr126"
"chr177","chr010"
"chr183b","chr183a"
"chr183c","chr183a"
"chr183d","chr183a"
"chr183n","chr183a"
"chr183o","chr183a"
"chr183p","chr183a"
"chr183q","chr183a"
"chr183r","chr183a"
"chr183s","chr183a"
"chr183t","chr183a"
"chr183u","chr183a"
"chr183v","chr183a"
"chr217","chr079"
"chr347","chr132"
"chr402","chr301"
"chr409","chr072"
"chr434","chr132"
"chr464","chr463"
"chr465","chr463"
"chr493","chr916"
"chr494","chr921"
"chr566","chr565"
"chr571","chr572"
"chr577","chr111"
"chr578","chr111"
"chr579","chr394"
"chr580","chr394"
"chr617","chr616"
"chr622","chr623"
"chr728","chr009"
"chr729","chr070"
"chr730","chr093"
"chr750","chr701"
"chr751","chr722"
"chr752","chr313"
"chr753","chr455"
"chr754","chr425"
"chr755","chr377"
"chr756","chr595"
"chr757","chr088"
"chr759","chr370"
"chr760","chr341"
"chr767","chr179"
"chr811","npc105a"
"chr812","chr086"
"chr813","chr126"
"chr814","chr215"
"chr815","chr382"
"chr816","chr416"
"chr817","chr417"
"chr818","chr703"
"chr819","chr734"
"chr820","chr738"
"chr821","chr739"
"chr822","chr749"
"chr823","chr178"
"chr824","chr733"
"chr825","chr613"
"chr826","chr588"
"chr827","chr194"
"chr828","chr214"
"chr829","chr227"
"chr830","chr600"
"chr831","chr722"
"chr832","chr128"
"chr833","chr036"
"chr834","chr038"
"chr835","chr230"
"chr836","chr385"
"chr837","chr404"
"chr838","chr627"
"chr839","chr040"
"chr840","chr435"
"chr841","chr439"
"chr844","chr225"
"chr845","chr775"
"chr846","chr492"
"chr874","chr708"
"chr875","chr920"
"chr876","chr169"
"chr877","chr604"
"chr906","chr215"
"chr917","chr021"
"chr923","chr922"
"chr927","chr075"
"chr928","chr080"
"chr929","chr088"
"chr930","chr163"
"chr931","chr173"
"chr932","chr176"
"chr933","chr180"
"chr934","chr168"
"chr936","chr302"
"chr937","chr440"
"chr938","chr452"
"chr939","chr590"
"chr940","chr907"
"chr942","chr367"
"chr943","chr950"
"chr944","chr606"
"chr945","chr606"
"chr946","chr379"
"chr947","chr605"
"chr948","chr423"
"chr949","chr915"
"dummy_chr465","dummy_chr463"
"mob006","mob008"
"mob020","mob016"
"mob021","mob001"
"mob023","mob003"
"mob024","mob004"
"mob025","mob005"
"mob026","mob008"
"mob027","mob007"
"mob028","mob008"
"mob031","mob011"
"mob032","mob012"
"mob033","mob013"
"mob034","mob014"
"mob035","mob015"
"mob036","mob016"
"mob037","mob017"
"mob038","mob008"
"mob040","mob016"
"mob041","mob001"
"mob043","mob003"
"mob044","mob004"
"mob046","mob008"
"mob047","mob007"
"mob048","mob008"
"mob051","mob011"
"mob052","mob012"
"mob053","mob013"
"mob054","mob014"
"mob055","mob015"
"mob056","mob016"
"mob057","mob017"
"mob058","mob008"
"mob060","mob016"
"mob061","mob001"
"mob063","mob003"
"mob064","mob004"
"mob067","mob007"
"mob068","mob008"
"mob071","mob011"
"mob072","mob012"
"mob073","mob013"
"mob074","mob014"
"mob075","mob015"
"mob076","mob016"
"mob077","mob017"
"mob080","mob016"
"mob081","mob001"
"mob083","mob003"
"mob084","mob004"
"mob087","mob007"
"mob088","mob008"
"mob091","mob011"
"mob092","mob012"
"mob093","mob013"
"mob094","mob014"
"mob095","mob015"
"mob096","mob016"
"mob100","mob016"
"mob107","mob007"
"mob108","mob008"
"mob111","mob011"
"mob115","mob015"
"mob123","mob003"
"mob131","mob011"
"mob133","mob003"
"mob151","mob011"
"mob153","mob003"
"mob171","mob011"
"mob173","mob003"
"mob193","mob003"
"mob213","mob003"
"mob233","mob003"
"npc001c","npc001a"
"npc001n","npc001a"
"npc001o","npc001a"
"npc001q","npc001a"
"npc001r","npc001a"
"npc001t","npc001a"
"npc001u","npc001a"
"npc002c","npc002a"
"npc003c","npc003a"
"npc004c","npc004a"
"npc006b","npc006a"
"npc014a","npc105a"
"npc015a","npc105a"
"npc016a","npc101a"
"npc018a","chr183a"
"npc052a","npc002a"
"npc052c","npc002a"
"npc053a","npc003a"
"npc053c","npc003a"
"npc056a","npc006a"
"npc057a","npc007a"
