int32 0,int32 1,int32 2,string2 3,float 4,float 5,float 6,string2 7,empty 8,empty 9
208100011,-1,3,"enemy_001S",20,20,60,"r_h0810_0010_0010",,
208100021,-1,3,"enemy_002S",20,20,60,"r_h0810_0010_0020",,
208100031,-1,3,"enemy_003M",20,20,60,"r_h0810_0010_0030",,
208100041,-1,3,"enemy_004M",20,20,60,"r_h0810_0010_0040",,
208100051,-1,3,"enemy_005M",20,20,60,"r_h0810_0010_0050",,
208100061,-1,3,"enemy_006M",20,20,60,"r_h0810_0010_0060",,
208100071,-1,3,"enemy_007S",20,20,60,"r_h0810_0010_0070",,
208100081,-1,3,"enemy_008S",20,20,60,"r_h0810_0010_0080",,
208100091,-1,3,"enemy_009L",20,20,60,"r_h0810_0010_0090",,
208100101,-1,3,"enemy_010S",20,20,60,"r_h0810_0010_0100",,
208100111,-1,3,"enemy_011M",20,20,60,"r_h0810_0010_0110",,
208100121,-1,3,"enemy_012L",20,20,60,"r_h0810_0010_0120",,
208100131,-1,3,"enemy_013M",20,20,60,"r_h0810_0010_0130",,
208100141,-1,3,"enemy_014M",20,20,60,"r_h0810_0010_0140",,
