int 0,int 1,int 2,int 3,int 4,int 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15
0,0,0,0,-1,-1,"h0415","h0416","h0417","h0418","h0420","h0421","h0422","h0423","h04","last"
1000,0,100,0,-1,-1,"way_out","way_out","way_out","way_out","way_out","way_out","way_out","way_out","h0400","last"
2000,0,200,0,-1,-1,"way_out","way_out","way_out","way_out","way_out","way_out","way_out","way_out","h0400","last"
3000,0,300,0,-1,-1,"way_out","way_out","way_out","way_out","way_out","way_out","way_out","way_out","h0400","last"
4000,0,400,0,-1,-1,"way_out","way_out","way_out","way_out","way_out","way_out","way_out","way_out","h0400","last"
30000,0,3000,0,-1,-1,"way_out","way_out","way_out","way_out","way_out","way_out","way_out","way_out","h0400","last"
101000,10000,100,0,-1,-1,"way_out","way_out","way_out","way_out","way_out","way_out","way_out","way_out","h0400","last"
102000,10000,200,0,-1,-1,"way_out","way_out","way_out","way_out","way_out","way_out","way_out","way_out","h0400","last"
103000,10000,300,0,-1,-1,"way_out","way_out","way_out","way_out","way_out","way_out","way_out","way_out","h0400","last"
104000,10000,400,0,-1,-1,"way_out","way_out","way_out","way_out","way_out","way_out","way_out","way_out","h0400","last"
105000,10000,500,0,-1,-1,"way_out","way_out","way_out","way_out","way_out","way_out","way_out","way_out","h0400","last"
106000,10000,600,0,-1,-1,"way_out","way_out","way_out","way_out","way_out","way_out","way_out","way_out","h0400","last"
107000,10000,700,0,-1,-1,"way_out","way_out","way_out","way_out","way_out","way_out","way_out","way_out","h0400","last"
108000,10000,800,0,-1,-1,"way_out","way_out","way_out","way_out","way_out","way_out","way_out","way_out","h0400","last"
109000,10000,900,0,-1,-1,"way_out","way_out","way_out","way_out","way_out","way_out","way_out","way_out","h0400","last"
110000,10000,1000,0,-1,-1,"way_out","way_out","way_out","way_out","way_out","way_out","way_out","way_out","h0400","last"
111000,10000,1100,0,-1,-1,"way_out","way_out","way_out","way_out","way_out","way_out","way_out","way_out","h0400","last"
112000,10000,1200,0,-1,-1,"way_out","way_out","way_out","way_out","way_out","way_out","way_out","way_out","h0400","last"
113000,10000,1300,0,-1,-1,"way_out","way_out","way_out","way_out","way_out","way_out","way_out","way_out","h0400","last"
114000,10000,1400,0,-1,-1,"way_out","way_out","way_out","way_out","way_out","way_out","way_out","way_out","h0400","last"
204000,20000,400,0,-1,-1,"way_out","way_out","way_out","way_out","way_out","way_out","way_out","way_out","h0400","last"
