int 0,int 1,int 2,int 3,int 4,int 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15,string2 16,string2 17,string2 18,string2 19,string2 20,string2 21
0,0,0,0,-1,-1,"d0501","d0502","d0503","d0504","d0505","d0506","d0507","d0508","d0509","d0510","d0511","d0512","d0513","d0550","d05","last"
1000,0,100,0,2510,-1,"gim_1101","","","","elv_0002","","","","","","","","","","d0501","last"
2000,0,200,0,6070,8950,"theater_0002","","","","elv_0002","","","","","","","","","","t0200",""
2001,0,200,1,-1,-1,"gim_1101","","","","elv_0002","","","","","","","","","","d0501",""
3000,0,300,0,-1,-1,"gim_1101","","","","elv_0002","","","","","","","","","","d0501",""
4000,0,400,0,-1,-1,"gim_1101","","","","elv_0002","","","","","","","","","","d0501",""
30000,0,3000,0,-1,-1,"theater_0002","","","","theater_0001","theater_0001","","","","","","","","","t3000","last"
30010,0,3001,0,-1,-1,"theater_0001","","","","theater_0001","theater_0001","","","","","","","","","t3000","last"
105010,10000,501,0,2550,2570,"","col_d0501_start_01_0
col_d0501_start_02_0","col_d0501_start_05_0","col_d0503_start_01_0","elv_0002","access_factory01","col_d0506_start_01_1","","col_d0507_start_01_0","","col_d0509_start_01_1","col_d0506_start_02_0","col_d0511_start_01_0","change_0001","","last"
105011,10000,501,1,-1,-1,"","col_d0501_start_01_0
col_d0501_start_02_0","col_d0501_start_05_0","col_d0503_start_01_0","col_d0501_start_03_0","access_factory01","col_d0506_start_01_1","","col_d0507_start_01_0","","col_d0509_start_01_1","col_d0506_start_02_0","col_d0511_start_01_0","change_0001","","last"
105020,10000,502,0,1511,1513,"col_d0502_start_00_0","","","","","","","","","","","","","change_0001","","last"
105021,10000,502,1,-1,-1,"col_d0502_start_00_0
col_d0502_start_01_0","","col_d0501_start_05_0","","col_d0501_start_03_0","access_factory01","col_d0506_start_01_1","","col_d0507_start_01_0","","col_d0509_start_01_1","col_d0506_start_02_0","","change_0001","","last"
105030,10000,503,0,1513,1515,"","","","","","","","","","","","","","change_0001","","last"
105031,10000,503,1,-1,-1,"col_d0503_start_00_0","col_d0501_start_01_0
col_d0501_start_02_0","","col_d0503_start_01_0","col_d0501_start_03_0
col_d0504_start_01_0","access_factory01","col_d0506_start_01_1","","col_d0507_start_01_0","","col_d0509_start_01_1","col_d0506_start_02_0","col_d0511_start_01_0","change_0001","","last"
105040,10000,504,0,-1,-1,"col_d0503_start_00_0","col_d0501_start_01_0
col_d0501_start_02_0","col_d0504_start_00_0","","col_d0504_start_01_0","access_factory01","col_d0506_start_01_1","","col_d0507_start_01_0","","col_d0509_start_01_1","col_d0506_start_02_0","col_d0511_start_01_0","change_0001","","last"
105050,10000,505,0,2510,2550,"change_9001","col_d0501_start_02_0","","","","","","","","","","","","change_0001","","last"
105051,10000,505,1,-1,-1,"change_9001","col_d0501_start_01_0
col_d0501_start_02_0","col_d0504_start_00_0","col_d0505_start_00_0","","access_factory01","col_d0506_start_01_1","","col_d0507_start_01_0","","col_d0509_start_01_1","col_d0506_start_02_0","col_d0511_start_01_0","change_0001","","last"
105052,10000,505,2,-1,-1,"change_9001","col_d0501_start_01_0
col_d0501_start_02_0","col_d0501_start_05_0","col_d0503_start_01_0","col_d0501_start_03_0","","","","","","","","","","",""
105060,10000,506,0,-1,-1,"access_arena01","col_d0501_start_01_0
col_d0501_start_02_0","col_d0501_start_05_0","col_d0503_start_01_0","col_d0501_start_03_0","","col_d0506_start_01_1","","col_d0507_start_01_0","","col_d0509_start_01_1","col_d0506_start_02_0","col_d0511_start_01_0","change_0001","","last"
105070,10000,507,0,-1,-1,"access_arena01","col_d0501_start_01_0
col_d0501_start_02_0","col_d0501_start_05_0","col_d0503_start_01_0","col_d0501_start_03_0","access_battlefield01","","","col_d0507_start_01_0","","col_d0509_start_01_1","col_d0506_start_02_0","col_d0511_start_01_0","change_0001","","last"
105080,10000,508,0,-1,-1,"","","","","","","","","","","","","","change_0001","","last"
105090,10000,509,0,-1,-1,"access_arena01","col_d0501_start_01_0
col_d0501_start_02_0","col_d0501_start_05_0","col_d0503_start_01_0","col_d0501_start_03_0","access_battlefield01","col_d0509_start_00_0","","","","col_d0509_start_01_1","col_d0506_start_02_0","col_d0511_start_01_0","change_0001","","last"
105100,10000,510,0,-1,-1,"","","","","","","","","","","","","","change_0001","","last"
105110,10000,511,0,-1,-1,"access_arena01","col_d0501_start_01_0
col_d0501_start_02_0","col_d0501_start_05_0","col_d0503_start_01_0","col_d0501_start_03_0","access_battlefield01","col_d0509_start_00_0","","col_d0511_start_00_0","","","col_d0511_start_01_0","col_d0511_start_01_0","change_0001","","last"
105120,10000,512,0,-1,-1,"","","","","","","","","","","","","","change_0001","","last"
105130,10000,513,0,-1,-1,"access_arena01","col_d0501_start_01_0
col_d0501_start_02_0","col_d0501_start_05_0","col_d0503_start_01_0","col_d0501_start_03_0","access_battlefield01","col_d0509_start_00_0","","col_d0511_start_00_0","","col_d0513_start_00_0","","","change_0001","","last"
105500,10000,550,0,-1,-1,"change_0001","","","","","","","","","","","","","","","last"
101000,10000,100,0,6903,6904,"map_0001","","","","","","","","","","","","","","d0501",""
101001,10000,100,1,6904,6903,"gim_1101","","","","","","","","","","","","","","d0501",""
101002,10000,100,2,-1,-1,"map_0001","col_d0501_start_01_0","","","elv_0002","","","","","","","","","","d0501","last"
102000,10000,200,0,6903,6904,"map_0001","","","","","","","","","","","","","","d0501",""
102001,10000,200,1,6904,6903,"gim_1101","","","","","","","","","","","","","","d0501",""
102002,10000,200,2,-1,-1,"map_0001","col_d0501_start_01_0","","","elv_0002","","","","","","","","","","d0501","last"
103000,10000,300,0,6903,6904,"map_0001","","","","","","","","","","","","","","d0501",""
103001,10000,300,1,6904,6903,"gim_1101","","","","","","","","","","","","","","d0501",""
103002,10000,300,2,-1,-1,"map_0001","col_d0501_start_01_0","","","elv_0002","","","","","","","","","","d0501","last"
104000,10000,400,0,6903,6904,"map_0001","","","","","","","","","","","","","","d0501",""
104001,10000,400,1,6904,6903,"gim_1101","","","","","","","","","","","","","","d0501",""
104002,10000,400,2,-1,-1,"map_0001","col_d0501_start_01_0","","","elv_0002","","","","","","","","","","d0501","last"
106000,10000,600,0,6903,6904,"gim_1101","col_d0501_start_01_0","","","","","","","","","","","","","d0501","last"
106001,10000,600,1,6904,6903,"gim_1101","","","","","","","","","","","","","","d0501",""
106002,10000,600,2,-1,-1,"map_0001","col_d0501_start_01_0","","","elv_0002","","","","","","","","","","d0501","last"
107000,10000,700,0,6903,6904,"map_0001","","","","","","","","","","","","","","d0501",""
107001,10000,700,1,6904,6903,"gim_1101","","","","","","","","","","","","","","d0501",""
107002,10000,700,2,-1,-1,"map_0001","col_d0501_start_01_0","","","elv_0002","","","","","","","","","","d0501","last"
110000,10000,1000,0,6903,6904,"map_0001","","","","","","","","","","","","","","d0501",""
110001,10000,1000,1,6904,6903,"gim_1101","","","","","","","","","","","","","","d0501",""
110002,10000,1000,2,-1,-1,"map_0001","col_d0501_start_01_0","","","elv_0002","","","","","","","","","","d0501","last"
111000,10000,1100,0,6903,6904,"map_0001","","","","","","","","","","","","","","d0501",""
111001,10000,1100,1,6904,6903,"gim_1101","","","","","","","","","","","","","","d0501",""
111002,10000,1100,2,-1,-1,"map_0001","col_d0501_start_01_0","","","elv_0002","","","","","","","","","","d0501","last"
112000,10000,1200,0,6903,6904,"gim_1101","col_d0501_start_01_0","","","","","","","","","","","","","d0501","last"
112001,10000,1200,1,6904,6903,"gim_1101","","","","","","","","","","","","","","d0501",""
112002,10000,1200,2,-1,-1,"map_0001","col_d0501_start_01_0","","","elv_0002","","","","","","","","","","d0501","last"
113000,10000,1300,0,6903,6904,"gim_1101","col_d0501_start_01_0","","","","","","","","","","","","","d0501","last"
113001,10000,1300,1,6904,6903,"gim_1101","","","","","","","","","","","","","","d0501",""
113002,10000,1300,2,-1,-1,"map_0001","col_d0501_start_01_0","","","elv_0002","","","","","","","","","","d0501","last"
