int32 0,int32 1,int32 2,string2 3,float 4,float 5,float 6,string2 7,empty 8,empty 9
105010011,1,5,"",-1,-1,5,"r_d0501_0010_0010",,
105010021,2,5,"",-1,-1,5,"r_d0501_0010_0020",,
105010031,3,5,"",-1,-1,5,"r_d0501_0010_0030",,
105010041,4,5,"",-1,-1,5,"r_d0501_0010_0040",,
105010051,5,5,"",-1,-1,5,"r_d0501_0010_0050",,
105010061,6,5,"",-1,-1,5,"r_d0501_0010_0060",,
105010071,7,5,"",-1,-1,5,"r_d0501_0010_0070",,
105010081,8,5,"",-1,-1,5,"r_d0501_0010_0080",,
105010091,9,5,"",-1,-1,5,"r_d0501_0010_0090",,
105010101,10,5,"",-1,-1,5,"r_d0501_0010_0100",,
105010111,11,5,"",-1,-1,5,"r_d0501_0010_0110",,
105010121,12,5,"",-1,-1,5,"r_d0501_0010_0120",,
105010131,13,5,"",-1,-1,5,"r_d0501_0010_0130",,
105010141,14,5,"",-1,-1,5,"r_d0501_0010_0140",,
105010151,15,5,"",-1,-1,5,"r_d0501_0010_0150",,
105010161,-1,1,"rumor_001",15,15,5,"r_d0501_0020_0010",,
105010171,-1,1,"rumor_002",15,15,5,"r_d0501_0020_0020",,
105010181,-1,1,"rumor_003",15,15,5,"r_d0501_0020_0030",,
105010191,-1,1,"rumor_004",15,15,5,"r_d0501_0020_0040",,
105010201,-1,1,"rumor_005",15,15,5,"r_d0501_0020_0050",,
105010211,-1,1,"rumor_006",15,15,5,"r_d0501_0020_0060",,
105010221,-1,1,"rumor_007",15,15,5,"r_d0501_0020_0070",,
105010231,-1,1,"rumor_008",15,15,5,"r_d0501_0020_0080",,
105010241,-1,1,"rumor_009",15,15,5,"r_d0501_0020_0090",,
105010251,-1,1,"rumor_010",15,15,5,"r_d0501_0020_0100",,
105010261,-1,1,"rumor_011",15,15,5,"r_d0501_0020_0110",,
105010271,-1,1,"rumor_012",15,15,5,"r_d0501_0020_0120",,
105010281,-1,0,"npc_0652",15,15,5,"r_d0501_0020_0130",,
