int32 0,int32 1,int32 2,string2 3,float 4,float 5,float 6,string2 7,empty 8,empty 9
1040011,1,5,"",-1,-1,10,"r_t0104_0010_0010",,
1040021,2,5,"",-1,-1,10,"r_t0104_0010_0020",,
1040031,3,5,"",-1,-1,10,"r_t0104_0010_0030",,
1040041,4,5,"",-1,-1,10,"r_t0104_0010_0040",,
1040051,5,5,"",-1,-1,10,"r_t0104_0010_0050",,
1040061,6,5,"",-1,-1,10,"r_t0104_0010_0060",,
1040071,7,5,"",-1,-1,10,"r_t0104_0010_0070",,
1040081,8,5,"",-1,-1,10,"r_t0104_0010_0080",,
1040091,-1,0,"npc_0006",10,10,10,"r_t0104_0010_0090",,
1040101,-1,0,"npc_006Mob01",10,10,10,"r_t0104_0010_0095",,
1040111,-1,0,"npc_006Mob02",10,10,10,"r_t0104_0010_0100",,
1040121,-1,1,"rumor_001",15,15,10,"r_t0104_0010_0110",,
1040131,-1,1,"rumor_002",15,15,10,"r_t0104_0010_0120",,
1040141,-1,1,"rumor_003",15,15,10,"r_t0104_0010_0130",,
1040161,-1,1,"rumor_005",15,15,10,"r_t0104_0010_0150",,
