int32 0,int32 1,int32 2,int32 3,string2 4,int32 5,int32 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,float 15,float 16,float 17,int32 18,float 19,float 20,float 21,float 22,string2 23,string2 24,string2 25,float 26,float 27,string2 28,float 29,int32 30,string2 31,float 32,float 33,float 34,int32 35,float 36,float 37,float 38,float 39,float 40,float 41,int32 42,int32 43,int32 44,float 45,float 46,float 47,float 48,string2 49,string2 50,float 51,int32 52,string3 53,float 54,float 55,float 56,int32 57,float 58,float 59,float 60,float 61,float 62,float 63,int32 64,int32 65,int32 66,float 67,float 68,float 69,float 70,string2 71,bool 72,bool 73,bool 74,bool 75,bool 76,bool 77,bool 78,int32 79,float 80,int32 81,float 82,float 83,string2 84,int32 85,float 86,int32 87,float 88,float 89,float 90,string2 91,int32 92,float 93,int32 94,float 95,string2 96,float 97,float 98,float 99,float 100,string2 101,string2 102,string2 103
1070301,4220002,0,99,"",0,0,"","","","","","",-18.245,12.703,10.321,-40.959,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"bn01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,10,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,5,4,"",0,1.5,0,6.5,20,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070302,4220002,0,10,"",0,0,"","","","","","",30.405,0.238,74.413,-175.39,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"bn01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,12,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,2,5,4,"",0,1.5,0,6.5,20,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070303,4220002,0,10,"",0,0,"","","","","","",25.749,12.592,-7.31,-4.839,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"bn01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,10,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,2,5,5,"",0,1.5,0,6.5,20,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070304,4220003,0,10,"",0,0,"","","","","","",-30.934,18.201,0.505,54.616,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"bn01",0,1,"",0,10,10,0,0,360,8,3,10,30,0,0,0,210,12,3,10,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,2,0,2,3,5,"",0,2,4,6,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070305,4220007,0,10,"",0,0,"","","","","","",49.39,12.249,-25.616,-16.892,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"bn01",0,1,"",0,10,10,0,0,360,8,3,10,30,0,0,0,210,12,3,10,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,2,0,0,3,6,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070306,4220006,0,10,"",0,0,"","","","","","",-5.388,-0.087,101.765,-40.959,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"bn01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,10,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,4,4,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070307,4220008,0,10,"",0,0,"","","","","","",2.542,12.553,8.772,-40.959,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"bn01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,10,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,4,5,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070308,4220009,0,10,"",0,0,"","","","","","",-25.023,0.043,110.421,-40.959,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"bn01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,10,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,4,3,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070309,4220009,0,10,"",0,0,"","","","","","",32.903,3.565,50.991,-40.959,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"bn01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,10,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,4,4,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070310,4220009,0,10,"",0,0,"","","","","","",4.087,12.618,-2.268,-40.959,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"bn01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,10,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,4,4,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070311,4220008,0,10,"",0,0,"","","","","","",-53.645,12.775,10.048,-128.905,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"bn01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,10,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,4,2.5,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070312,4220008,0,10,"",0,0,"","","","","","",-30.922,12.703,-30.208,-40.959,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"bn01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,10,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,4,4,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070313,4220009,0,10,"",0,0,"","","","","","",-23.845,12.764,-23.858,-40.959,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"bn01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,10,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,4,4,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070314,4220004,0,11,"",0,0,"","","","","","",32.54,4.303,48.761,-175.39,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"bn01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,12,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,5,3,"",0,1.5,0,6.5,20,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070315,4220004,0,11,"",0,0,"","","","","","",-29.708,12.693,-27.865,4.993,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"bn01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,10,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,2,4,"",0,2,0,4,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070316,4220005,0,11,"",0,0,"","","","","","",-13.879,0.01,100.391,-40.959,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"bn01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,10,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,4,4,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070317,4220005,0,11,"",0,0,"","","","","","",-31.191,12.639,2.875,62.629,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"bn01",0,1,"",0,10,10,0,0,360,9,2,2,30,0,0,0,210,10,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,2,5,3,"",0,1.5,0,6.5,20,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070318,4220010,0,11,"",0,0,"","","","","","",28.472,12.592,-2.707,-22.52,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"bn01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,10,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,5,3,"",0,1.5,0,6.5,20,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070319,4220010,0,11,"",0,0,"","","","","","",-25.026,0.043,109.496,-40.959,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"bn01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,10,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,4,4,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
1070320,4220010,0,11,"",0,0,"","","","","","",0.412,12.703,9.065,-40.959,1,1,-1,-1,-1,-1,"symbol01","bn01","",0,0,"bn01",0,1,"",0,10,10,0,0,360,6,2,2,30,0,0,0,210,10,2,2,"","",0,1,"",0,30,-1,0,0,360,0,0,0,150,0,0,0,0,0,0,0,"",false,true,false,false,true,true,false,0,0,0,4,3,"",0,2,0,5,15,5,"",0,2,0,-1,"",0,0,0,-1,"","",""
