int 0,string 1,string 2,string 3,string 4,string 5,string 6,string 7,string 8,string 9,string 10,string 11
99999997,"{ft3}{fa0}{fs30}{la0}{fc(FF0000)}{b1}{bt0}{bc(00FFFF)}{ba(4F)}{ia1}","","","","","","","","","",""
99999998,"{ft3}{fa0}{fs30}{la1}{fc(FF0000)}{b1}{bt1}{bc(00FFFF)}{ba(4F)}{ia1}{scr10}","","","","","","","","","",""
99999999,"{fs30}{fa0}{la2}{fc(FF0000)}{b1}{bt1}{bc(00FFFF)}{ba(4F)}{ia1}","","","","","","","","","",""
1,"{fs26}{fc(FFFFFF)}{ia0}{fa1}{la1}","","","","","","","","","",""
2,"{fs26}{fc(FFFFFF)}{ia0}{fa1}{la1}","","","","","","","","","",""
3,"{fs26}{fc(FFFFFF)}{ia0}","","","","","","","","","",""
4,"{fs22}{fc(FFFFFF)}{ia0}","","","","","","","","","",""
5,"{fs26}{fc(FFFFFF)}{ia0}","","","","","","","","","",""
6,"{fs46}{fa0}{la0}{fc(ff4000)}{b1}{bc(FFFFFF)}{ft2}","","","","","","","","","",""
7,"{fs46}{fa0}{la0}{b1}{bc(FFFFFF)}{ct1}{ft2}","","","","","","","","","",""
8,"{fs20}{fa0}","","","","","","","","","",""
9,"{fs20}{fa0}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
10,"{fs20}","","","","","","","","","",""
11,"{fs20}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
12,"{fs20}{fa0}","","","","","","","","","",""
13,"{fs22}","","","","","","","","","",""
14,"{fs30}{fa0}","","","","","","","","","",""
15,"{fs30}{fa0}{b1}{bc(FFFFFF)}{ct1}","","","","","","","","","",""
16,"{fs30}{fa0}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
17,"{fs18}{fa0}","","","","","","","","","",""
18,"{fs26}{fa0}","","","","","","","","","",""
19,"{fs24}{fa0}{la0}{lm10}","","","","","","","","","",""
20,"{fs22}{fa0}","","","","","","","","","",""
21,"{fs20}","","","","","","","","","",""
22,"{fs14}{fa0}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
23,"{fs24}","","","","","","","","","",""
24,"","","","","","","","","","",""
25,"{fs20}{fc(ffb400)}{ft2}","","","","","","","","","",""
26,"{fs20}","","","","","","","","","",""
27,"{fs18}","","","","","","","","","",""
28,"{fs20}","","","","","","","","","",""
29,"{fs22}{fa0}","","","","","","","","","",""
30,"{fs14}{fa0}{ft2}","","","","","","","","","",""
31,"{fs14}{fa2}{ft2}","","","","","","","","","",""
32,"{fs30}{fa0}{fc(ffb400)}{ft2}","","","","","","","","","",""
33,"{fs30}{fa2}{fc(ffb400)}{ft2}","","","","","","","","","",""
34,"{fs18}{fa0}","","","","","","","","","",""
35,"{fs18}{fa2}","","","","","","","","","",""
36,"{fs18}{fa0}","","","","","","","","","",""
37,"{fs20}","","","","","","","","","",""
38,"{fs14}{fa0}","","","","","","","","","",""
39,"{fs20}{fa2}{fc(ffb400)}","","","","","","","","","",""
40,"{fs18}","","","","","","","","","",""
41,"{fs24}","","","","","","","","","",""
42,"{fs42}","","","","","","","","","",""
43,"{fs16}","","","","","","","","","",""
44,"{fs24}{fa2}{fc(361b09)}","","","","","","","","","",""
45,"{fs18}{fa0}","","","","","","","","","",""
46,"{fs18}{fa2}","","","","","","","","","",""
47,"{fs26}{ia0}{fa1}{la1}{b1}{bt1}{bc(000000)}{ba(88)}","","","","","","","","","",""
48,"{fs26}","","","","","","","","","",""
49,"{fs24}{fa0}","","","","","","","","","",""
50,"{fs14}{fa0}{ft2}","","","","","","","","","",""
51,"{fs20}{fa2}{ft2}","","","","","","","","","",""
52,"{fs22}{fa0}{fc(ffb400)}{ft2}","","","","","","","","","",""
53,"{fs30}{fa2}{fc(ffb400)}{ft2}","","","","","","","","","",""
54,"{fs22}{fa0}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
55,"{fs18}{fa0}","","","","","","","","","",""
56,"{fs18}{fa0}","","","","","","","","","",""
57,"{fs18}{fa2}","","","","","","","","","",""
58,"{fs18}{fa2}{fc(ea9a2c)}","","","","","","","","","",""
59,"{fs18}{fc(ea9a2c)}","","","","","","","","","",""
60,"{fs20}{fc(999999)}","","","","","","","","","",""
61,"{fs14}{fa0}{fc(999999)}","","","","","","","","","",""
62,"{fs20}{fa2}{fc(996c00)}","","","","","","","","","",""
63,"{fs18}","","","","","","","","","",""
100,"{fs30}{fa2}","","","","","","","","","",""
101,"{fs30}{fa0}","","","","","","","","","",""
102,"{fs20}{fa0}","","","","","","","","","",""
103,"{fs20}{fa0}{b1}{ct1}","","","","","","","","","",""
104,"{fs22}{fa0}","","","","","","","","","",""
105,"{fs18}{fa0}","","","","","","","","","",""
106,"{fs18}{fa0}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
107,"{fs14}{fa0}","","","","","","","","","",""
108,"{fs14}{fa0}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
109,"{fs18}{fa2}{fc(f58d13)}","","","","","","","","","",""
110,"{fs18}{fa2}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
111,"{fs18}{fa0}","","","","","","","","","",""
112,"{fs18}{fa0}","","","","","","","","","",""
113,"{fs14}{fa0}","","","","","","","","","",""
114,"{fs20}{fa2}","","","","","","","","","",""
115,"{fs18}{fa0}","","","","","","","","","",""
116,"{fs18}{fa0}{la0}{lm10}","","","","","","","","","",""
117,"{fs20}{fa0}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
118,"{fs20}{fa0}{fc(ffea00)}","","","","","","","","","",""
119,"{fs18}","","","","","","","","","",""
120,"{fs18}{fc(00f6ff)}","","","","","","","","","",""
121,"{fs18}{fc(ff2400)}","","","","","","","","","",""
122,"{fs18}{fa0}","","","","","","","","","",""
123,"{fs18}{fa2}","","","","","","","","","",""
124,"{fs18}{fa2}{fc(00f6ff)}","","","","","","","","","",""
125,"{fs18}{fa2}{fc(ff2400)}","","","","","","","","","",""
126,"{fs18}","","","","","","","","","",""
127,"{fs18}{fc(00f6ff)}","","","","","","","","","",""
128,"{fs18}{fc(ff2400)}","","","","","","","","","",""
129,"{fs22}{fa0}","","","","","","","","","",""
130,"{fs18}{fa0}","","","","","","","","","",""
131,"","","","","","","","","","",""
132,"{fs20}{fa0}","","","","","","","","","",""
133,"{fs20}{fa0}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
134,"{fs20}{fa0}","","","","","","","","","",""
135,"{fs20}{fa0}{fc(000000)}{b1}{bt0}{bc(974f00)}","","","","","","","","","",""
136,"{fs20}{fa2}","","","","","","","","","",""
