int32 0,empty 1,int32 2,empty 3,empty 4,int32 5,empty 6,bool 7,bool 8,bool 9,int32 10,int32 11,float 12,float 13,string2 14,int32 15,int32 16,int32 17,int32 18,int32 19,int32 20,int32 21,int32 22,int32 23,int32 24,int32 25,int32 26,int32 27,int32 28,int32 29,int32 30,empty 31,int32 32,int32 33,int32 34,int32 35,int32 36,int32 37,empty 38,int32 39,int32 40,empty 41,int32 42,int32 43
101,,1,,,101,,false,true,false,0,20,-1,0.05,"",0,0,2590,850,1040,890,1110,890,490,50,80,210,50,210,50,160,,0,264,8,160,16,22133,,100,0,,0,0
201,,2,,,201,,false,true,false,0,20,-1,0.1,"",0,0,780,370,200,130,400,220,240,30,50,120,20,120,20,100,,0,24,4,40,4,0,,0,0,,0,20
301,,3,,,301,,false,true,false,0,20,-1,0.05,"",0,0,1000,520,290,140,410,190,460,40,60,170,40,170,40,130,,0,84,6,80,8,0,,0,0,,0,15
401,,4,,,401,,false,true,false,0,20,-1,0.05,"",0,0,1510,780,790,400,1370,530,760,50,80,210,50,210,50,160,,0,264,8,160,16,0,,0,0,,0,10
501,,5,,,501,,false,true,false,0,20,-1,0.05,"",0,0,1870,340,380,300,190,210,140,40,60,170,40,170,40,130,,0,84,6,80,8,0,,0,0,,0,15
502,,5,,,501,,false,true,false,0,20,-1,0.05,"",0,0,1870,340,380,300,190,210,140,40,60,130,60,130,60,130,,0,84,6,80,8,0,,0,0,,0,15
601,,6,,,601,,false,true,false,0,20,-1,0.05,"",0,0,1870,590,1060,490,1200,660,660,50,80,210,50,210,50,160,,0,264,8,160,16,10006,,5,0,,0,10
602,,6,,,601,,false,true,true,0,20,-1,0.05,"",0,0,1870,590,1060,490,1200,660,660,0,80,0,0,0,0,0,,0,264,8,160,16,0,,0,0,,0,10
603,,6,,,601,,false,true,false,0,20,-1,0.05,"",0,0,1870,590,1060,490,1200,660,660,0,80,0,0,0,0,0,,0,264,8,160,16,0,,0,0,,0,10
901,,9,,,901,,false,true,false,0,20,-1,0.1,"",0,0,600,340,380,180,400,140,161,60,60,300,120,300,120,130,,0,24,6,40,4,10009,,5,0,,0,20
1001,,10,,,1001,,false,true,false,0,20,-1,0.05,"",0,0,250,260,2298,485,2138,435,1290,80,60,100,100,100,100,130,,0,484,6,80,8,10010,,5,0,,0,15
1002,,10,,,1001,,false,true,false,0,20,-1,0.05,"",0,0,1,260,490,220,330,230,290,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0
1003,,10,,,1001,,false,true,false,0,20,-1,0.05,"",0,0,5020,260,1990,880,1830,820,1290,0,0,0,0,0,0,0,,0,0,0,0,0,10010,,5,0,,0,0
1101,,11,,,1101,,false,true,false,0,20,-1,0.05,"",0,0,1080,330,425,96,425,121,400,80,60,330,130,330,130,130,,0,84,6,80,8,10011,,5,0,,0,15
1102,,11,,,1101,,false,true,false,0,20,-1,0.05,"",0,0,1020,330,410,170,380,200,400,40,60,170,40,170,40,130,,0,84,6,80,8,0,,0,0,,0,15
1201,,12,,,1201,,false,true,false,0,20,-1,0.05,"",0,0,1000,480,330,180,360,200,430,40,60,170,40,170,40,130,,0,84,6,80,8,0,,0,0,,0,15
1202,,12,,,1202,,false,true,false,0,20,-1,0.05,"",0,0,2000,480,580,180,360,340,430,40,60,170,40,170,40,130,,0,84,6,80,8,0,,0,0,,0,15
1301,,13,,,1301,,false,true,false,0,20,-1,0.05,"",0,0,1260,740,1,34,351,67,400,60,60,240,120,240,130,130,,0,84,6,80,8,10013,,5,0,,0,15
1302,,13,,,1302,,false,true,false,0,20,-1,0.05,"",0,0,1000,740,460,460,910,610,400,40,60,170,40,170,40,130,,0,84,6,80,8,22140,,100,0,,0,0
1303,,13,,,1302,,false,true,false,0,20,-1,0.05,"",0,0,500,740,1660,640,2110,1220,800,0,60,170,40,170,40,130,,0,84,6,80,8,10013,,5,0,,0,0
1401,,14,,,1401,,false,true,false,0,20,-1,0.05,"",0,0,390,390,32,35,12,15,280,60,60,250,90,250,90,130,,0,384,6,80,8,10014,,5,0,,0,15
1501,,15,,,1501,,false,true,false,0,20,-1,0.05,"",0,0,880,480,590,320,330,360,460,40,60,170,40,170,40,130,,0,84,6,80,8,10015,,5,0,,0,15
1502,,15,,,1501,,false,true,false,0,20,-1,0.05,"",0,0,440,480,590,320,330,360,460,0,60,170,40,170,40,130,,0,84,6,80,8,10015,,5,0,,0,0
1601,,16,,,1601,,false,true,false,0,20,-1,0.05,"",0,0,20,240,324,6,25,56,350,70,60,230,80,220,80,130,,0,384,6,80,8,10016,,5,0,,0,15
