int 0,int 1,string2 2,string2 3,string2 4,string2 5,int 6,int 7,string2 8,string2 9,string2 10,string2 11,float 12,float 13,string2 14,int 15,int 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,int 24,float 25,float 26,float 27,float 28,float 29,int 30,int 31,float 32,float 33,float 34,float 35,int 36,float 37,int 38,float 39,int 40,int 41,string2 42,int 43,string2 44,int 45,int 46,bool 47,bool 48,float 49,float 50,float 51,float 52,float 53,float 54,string3 55,int 56,int 57,int 58,int 59,float 60,string2 61,string2 62,string2 63
108003,1,"npc_0003","3","","npc101ea010103",0,0,"","","fn02_01","",0,0,"",0,0,11.073,0.269,-6.585,83.626,0,0,1,1,3,160,360,1,1,1,2,0,0,0,-1,-1,0,-1,0,2,0,"fn02_01",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
108004,1,"npc_0004","4","","npc101da010101",0,0,"","","e010","",0,0,"F07",2,0,-8.146,0.269,0.643,159.657,0,0,1,1,3,160,360,1,1,1,2,0,0,0,-1,-1,0,-1,0,2,0,"e010",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
108005,1,"npc_0005","5","","npc101cd010201",0,0,"","","e030","",0,0,"",0,0,-62.076,0.184,23.913,277.747,0,0,1,1,3,160,360,1,1,1,2,0,0,0,-1,-1,0,-1,0,2,0,"e030",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
108006,1,"npc_0006","6","","npc101ba010204",0,0,"","","e111","",0,0,"F04",0,0,-54.714,0.085,23.277,286.822,0,0,1,1,3,160,360,1,1,1,2,0,0,0,-1,-1,0,-1,0,2,0,"e111",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
108012,1,"npc_0012","10","","npc105ab010107",0,0,"","","e008","",0,0,"",0,0,12.513,0.27,-15.801,-60.049,0,0,1,1,3,160,360,1,1,1,2,0,0,0,-1,-1,0,-1,0,2,0,"e008",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
108013,1,"npc_0013","11","","npc101bc010202",0,0,"","","e004","",0,0,"",0,0,-83.827,0.174,36.952,-113.168,0,0,1,1,3,160,360,1,1,1,2,0,0,0,-1,-1,0,-1,0,-1,0,"e004",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
108016,1,"npc_0014","14","","npc102cb010101",0,0,"","","e013","",0,0,"",0,0,22.714,0.269,-15.679,30.668,0,0,1,1,3,160,360,1,1,1,2,-0.2,0,0.8,-1,-1,0,-1,0,2,0,"e013",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
108017,1,"npc_0015","15","","npc102cc010203",0,0,"","","e030","",0,0,"",0,0,22.366,0.269,-14.688,144.928,0,0,1,1,0,160,360,1,1,0,2,0,0,0,-1,-1,0,-1,0,2,0,"e030",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
108018,1,"npc_0016","16","","npc102cb010102",0,0,"","","e012","",0,0,"",0,0,23.094,0.269,-14.192,179.4,0,0,1,1,0,160,360,1,1,0,2,0,0,0,-1,-1,0,-1,0,2,0,"e012",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
108019,1,"npc_0017","17","","npc101dd020201",0,0,"","","e005","",0,0,"F03",0,0,-1.381,0.269,-6.763,66.378,0,0,1,1,3,160,360,1,1,1,2,-0.1,0,0.5,-1,-1,0,-1,0,2,0,"e005",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
108020,1,"npc_0018","18","","npc105be010102",0,0,"","","e013","",0,0,"F01",0,0,-0.868,0.269,-5.99,187.818,0,0,1,1,0,160,360,1,1,0,2,0,0,0,-1,-1,0,-1,0,2,0,"e013",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
108021,1,"npc_0019","","","npc105ha010101",0,0,"","","e017","",0,0,"",0,0,-53.601,-0.001,28.397,-19.632,0,0,1,1,0,0,0,0,0,0,2,0,0,0,-1,-1,0,-1,0,0,0,"e017",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
108022,1,"npc_0020","","","npc105ha010101",0,0,"","","e012","",0,0,"",0,0,-55.911,0.085,28.233,39.258,0,0,1,1,0,0,0,0,0,0,2,0,0,0,-1,-1,0,-1,0,0,0,"e012",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
108007,2,"npc_0007","0","","npc105ef010102",0,0,"","","e507","",0,0,"",0,0,-69.418,0.08,34.075,210,0,0,1,1,0,0,0,1,1,0,2,0,0,0,-1,-1,0,-1,0,2,0,"e507",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
108008,2,"npc_0008","0","","npc105ee010107",0,0,"","","e507","",0,0,"",0,0,-79.346,0.078,38.558,210,0,0,1,1,0,0,0,1,1,0,2,0,0,0,-1,-1,0,-1,0,2,0,"e507",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
108009,2,"npc_0009","0","","npc105ef010104",0,0,"","","e507","",0,0,"",0,0,-7.301,0.322,-5.446,20,0,0,1,1,0,0,0,1,1,0,2,0,0,0,-1,-1,0,-1,0,2,0,"e507",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
