int32 0,int32 1,int32 2,string2 3,float 4,float 5,float 6,string2 7,empty 8,empty 9
109030011,-1,0,"npc0051",60,60,20,"r_d0903_0010_0010",,
109030021,-1,0,"npc0027",40,40,20,"r_d0903_0010_0020",,
109030031,-1,0,"npc0048",40,40,20,"r_d0903_0010_0030",,
109030041,-1,0,"npc0029",40,40,20,"r_d0903_0010_0040",,
109030051,-1,0,"npc0031",40,40,20,"r_d0903_0010_0050",,
109030061,-1,0,"npc0050",40,40,20,"r_d0903_0010_0060",,
109030071,-1,0,"npc0021",60,60,20,"r_d0903_0010_0070",,
109030081,-1,0,"npc0007",40,40,20,"r_d0903_0020_0010",,
109030091,-1,0,"npc0008",40,40,20,"r_d0903_0020_0020",,
109030101,-1,0,"npc0009",40,40,20,"r_d0903_0020_0040",,
109030111,-1,0,"npc0010",40,40,20,"r_d0903_0020_0030",,
109030121,-1,0,"npc0011",40,40,20,"r_d0903_0020_0050",,
109030131,-1,0,"npc0012",40,40,20,"r_d0903_0020_0060",,
109030141,-1,0,"npc0013",40,40,20,"r_d0903_0020_0070",,
