string3 0,empty 1,empty 2,empty 3,empty 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,int32 13,int32 14,int32 15,int32 16,int32 17,int32 18,int32 19,int32 20,int32 21,int32 22,int32 23,int32 24,int32 25,int32 26,int32 27,int32 28,int32 29,int32 30,int32 31,int32 32,int32 33,int32 34,int32 35,int32 36,int32 37,int32 38,int32 39,int32 40,int32 41,int32 42,int32 43,int32 44,int32 45,int32 46,int32 47,int32 48,int32 49,int32 50,int32 51,int32 52,int32 53,int32 54,int32 55,int32 56,int32 57,int32 58,int32 59,int32 60,int32 61,int32 62,int32 63,int32 64,int32 65,int32 66,int32 67,int32 68,int32 69,int32 70,int32 71,int32 72,int32 73,int32 74,int32 75,int32 76,int32 77,int32 78,int32 79,int32 80,int32 81,int32 82,int32 83,int32 84,int32 85,int32 86,int32 87,int32 88,int32 89,int32 90,int32 91,int32 92,int32 93,int32 94,int32 95,int32 96,int32 97,int32 98,int32 99,int32 100,int32 101,int32 102,int32 103,int32 104,int32 105,int32 106,int32 107
"CB_1001",,,,,2,50,135,302,326,345,363,512,515,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Test_9000",,,,,20,30,40,50,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Test_9001",,,,,21,23,31,32,41,42,51,52,61,68,71,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Before_A_RW",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,3,87,96,138,227,242,316,320,369,377,387,396,437,548,722,43,61,70,81,111,302,307,313,380,389,458,630,698,708,729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Before_B_RW",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,16,19,68,112,136,197,209,218,235,312,317,322,388,400,405,424,453,466,512,514,616,629,683,731,755,43,61,70,81,111,302,307,313,380,389,458,630,698,708,729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Before_C_RW",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,54,115,116,150,361,394,425,510,43,61,70,81,111,302,307,313,380,389,458,630,698,708,729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Before_A_CE",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,3,87,96,138,227,242,316,320,369,377,387,396,437,548,722,1,2,20,41,77,79,146,219,234,412,429,456,710,718,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Before_B_CE",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,16,19,68,112,136,197,209,218,235,312,317,322,388,400,405,424,453,466,512,514,616,629,683,731,755,1,2,20,41,77,79,146,219,234,412,429,456,710,718,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Before_C_CE",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,54,115,116,150,361,394,425,510,1,2,20,41,77,79,146,219,234,412,429,456,710,718,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Before_A_FA",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,3,87,96,138,227,242,316,320,369,377,387,396,437,548,722,9,25,60,113,178,198,210,342,382,398,402,409,413,426,431,463,465,491,576,577,609,704,723,724,725,728,752,760,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Before_B_FA",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,16,19,68,112,136,197,209,218,235,312,317,322,388,400,405,424,453,466,512,514,616,629,683,731,755,9,25,60,113,178,198,210,342,382,398,402,409,413,426,431,463,465,491,576,577,609,704,723,724,725,728,752,760,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Before_C_FA",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,54,115,116,150,361,394,425,510,9,25,60,113,178,198,210,342,382,398,402,409,413,426,431,463,465,491,576,577,609,704,723,724,725,728,752,760,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Before_A_SE",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,3,87,96,138,227,242,316,320,369,377,387,396,437,548,722,10,12,21,24,51,52,69,76,98,103,130,132,133,145,180,237,240,326,343,344,345,346,347,368,371,376,399,410,434,455,474,564,578,582,594,606,615,622,709,711,726,908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Before_B_SE",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,16,19,68,112,136,197,209,218,235,312,317,322,388,400,405,424,453,466,512,514,616,629,683,731,755,10,12,21,24,51,52,69,76,98,103,130,132,133,145,180,237,240,326,343,344,345,346,347,368,371,376,399,410,434,455,474,564,578,582,594,606,615,622,709,711,726,908,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Before_C_SE",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,54,115,116,150,361,394,425,510,10,12,21,24,51,52,69,76,98,103,130,132,133,145,180,237,240,326,343,344,345,346,347,368,371,376,399,410,434,455,474,564,578,582,594,606,615,622,709,711,726,908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Before_A_FO",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,3,87,96,138,227,242,316,320,369,377,387,396,437,548,722,15,42,50,56,58,73,82,83,84,91,139,141,142,151,193,199,229,303,304,305,308,309,314,348,349,367,374,375,392,393,395,401,411,454,586,592,596,597,607,610,611,623,702,705,706,720,721,727,745,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Before_B_FO",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,16,19,68,112,136,197,209,218,235,312,317,322,388,400,405,424,453,466,512,514,616,629,683,731,755,15,42,50,56,58,73,82,83,84,91,139,141,142,151,193,199,229,303,304,305,308,309,314,348,349,367,374,375,392,393,395,401,411,454,586,592,596,597,607,610,611,623,702,705,706,720,721,727,745,-1,-1,1,0,0
"CB_Before_C_FO",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,54,115,116,150,361,394,425,510,15,42,50,56,58,73,82,83,84,91,139,141,142,151,193,199,229,303,304,305,308,309,314,348,349,367,374,375,392,393,395,401,411,454,586,592,596,597,607,610,611,623,702,705,706,720,721,727,745,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
