int 0,string2 1,float 2,float 3,float 4,float 5,float 6,int 7,int 8,float 9,float 10,float 11,float 12,int 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,string2 21,int 22,int 23,int 24,int 25,string2 26,string2 27,int 28
102001,"1",2,220,360,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102100,"100",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102101,"101",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102102,"102",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102103,"103",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102104,"104",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102105,"105",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102106,"106",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102107,"107",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102108,"108",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102109,"109",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102110,"110",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102111,"111",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102112,"112",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102113,"113",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102401,"401",2,260,360,1,1,3,2,0,1.3,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102500,"500",0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102700,"700",5,160,360,1,1,24,2,0,1.5,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
102701,"701",5,160,360,1,1,24,2,0,1.5,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
