int32 0,int32 1,int32 2,string2 3,float 4,float 5,float 6,string2 7,empty 8,empty 9
1080011,1,5,"",-1,-1,10,"r_t0108_0010_0010",,
1080021,2,5,"",-1,-1,10,"r_t0108_0010_0020",,
1080031,3,5,"",-1,-1,10,"r_t0108_0010_0030",,
1080041,4,5,"",-1,-1,10,"r_t0108_0010_0040",,
1080051,5,0,"npc_0002_mob01",10,10,10,"r_t0108_0010_0050",,
1080061,-1,0,"npc_0019",10,10,10,"r_t0108_0010_0060",,
1080071,-1,0,"npc_0020",10,10,10,"r_t0108_0010_0070",,
1080081,-1,0,"npc_0002",10,15,10,"r_t0108_0010_0080",,
1080091,-1,0,"npc_0002_mob01",10,15,10,"r_t0108_0010_0090",,
1080101,-1,0,"npc_0002_mob02",10,15,10,"r_t0108_0010_0100",,
