int32 0,float 1,float 2,string2 3
1,4,10.8,"ed_lyrics_jp_0010"
2,11.3,18,"ed_lyrics_jp_0020"
3,18.8,25.8,"ed_lyrics_jp_0030"
4,26.3,33.3,"ed_lyrics_jp_0040"
5,33.5,40.1,"ed_lyrics_jp_0050"
6,40.3,47.5,"ed_lyrics_jp_0060"
7,47.7,55,"ed_lyrics_jp_0070"
8,55.2,62.4,"ed_lyrics_jp_0080"
9,62.6,70,"ed_lyrics_jp_0090"
10,70.2,78,"ed_lyrics_jp_0100"
11,86.2,93,"ed_lyrics_jp_0110"
12,93.7,100.9,"ed_lyrics_jp_0120"
13,101.3,111.5,"ed_lyrics_jp_0130"
14,111.7,114.9,"ed_lyrics_jp_0140"
15,115.1,122.4,"ed_lyrics_jp_0150"
16,122.6,129.9,"ed_lyrics_jp_0160"
17,130.1,145.3,"ed_lyrics_jp_0170"
18,171.2,178.6,"ed_lyrics_jp_0180"
19,178.9,186.2,"ed_lyrics_jp_0190"
20,186.4,193.7,"ed_lyrics_jp_0200"
21,193.9,200.8,"ed_lyrics_jp_0210"
22,201,205.7,"ed_lyrics_jp_0220"
23,205.9,216.3,"ed_lyrics_jp_0230"
24,216.5,223.7,"ed_lyrics_jp_0240"
25,223.9,232.5,"ed_lyrics_jp_0250"
