int32 0,int32 1,string 2,string2 3,string2 4,int32 5,empty 6
1,0,"","","",0,
2,0,"","","",0,
3,0,"","","",0,
4,0,"","","",0,
5,0,"","","",0,
6,0,"","","",0,
7,0,"","","",0,
8,0,"","","",0,
9,0,"","","",0,
10,0,"","","",0,
11,0,"","","",0,
12,0,"","","",0,
13,0,"","","",0,
14,0,"","","",0,
15,0,"","","",0,
16,1,"Digimon Story Time Stranger","","",0,
17,0,"","","",0,
18,0,"","","",0,
19,3,"Japanese Voice Talent","","",0,
20,0,"","","",0,
21,4,"Hiro Shimono","Dan Yuki","",0,
22,4,"Marina Inoue","Kanan Yuki","",0,
23,0,"","","",0,
24,4,"Kana Ichinose","Inori Misono","",0,
25,4,"Mutsumi Tamura","Aegiomon","",0,
26,0,"","","",0,
27,4,"Miyuki Sawashiro","Mirei Mikagura","",0,
28,0,"","","",0,
29,0,"","","",0,
30,4,"Shuka Saito","Hiroko Sagisaka","",0,
31,4,"Eiji Hanawa","Kosuke Misono","",0,
32,4,"Aya Endo","Dr. Simmons","",0,
33,4,"Yui Ishikawa","Asuna Shiroki","",0,
34,4,"Kenji Nomura","Kodai Kuremi","",0,
35,4,"Tatsumaru Tachibana","Shota Kuroi","",0,
36,4,"Masaya Takatsuka","Toya Kuga","",0,
37,0,"","","",0,
38,0,"","","",0,
39,4,"Ryoko Shiraishi","Minervamon","",0,
40,4,"Hisafumi Oda","Apollomon ","",0,
41,4,"Aya Yamane","Dianamon ","",0,
42,4,"Toru Sakurai","Marsmon ","",0,
43,4,"Volcano Ota","Merukimon","",0,
44,4,"Aino Shimada","Junomon","",0,
45,4,"Hiromu Miyazaki","Vulcanusmon","",0,
46,4,"Yu Kobayashi","Venusmon ","",0,
47,4,"Takeshi Hirabayashi ","Neptunemon","",0,
48,4,"Yasuhiro Kikuchi","Bacchusmon","",0,
49,4,"Asami Takano","Ceresmon","",0,
50,4,"Takahiro Fujiwara","Plutomon","",0,
51,0,"","","",0,
52,0,"","","",0,
53,4,"Mitsuaki Kanuka","Chronomon","",0,
54,4,"Yasuhiro Mamiya","Titamon","",0,
55,4,"Shunzo Miyasaka","Birdramon","",0,
56,4,"Yukiko Motoyoshi","BeelStarmon","",0,
57,4,"Taiki Yamashita","Callismon","",0,
58,4,"Tomo Muranaka","Lanamon","",0,
59,4,"Satoshi Akimoto","Sharkmon","",0,
60,4,"Teruyuki Tanzawa","Ogremon","",0,
61,4,"Yuga Sato","Fugamon","",0,
62,4,"Sho Fujisawa","Hyogamon","",0,
63,0,"","","",0,
64,4,"Yurika Moriyama","Homeros","",0,
65,4,"Naomi Ozora","King Drasil ","",0,
66,4,"Ayumu Kotomiya","Kunlun","",0,
67,0,"","","",0,
68,4,"Tika Sakamoto / Mayumi Yamaguchi","Omnimon","",0,
69,4,"Maya Sakamoto","Alphamon","",0,
70,0,"","","",0,
71,4,"Terriermon Assistant (Digimon ambassador)","Terriermon Assistant","",0,
